,toped.csv,irrlicht.csv,qse.csv,truevision.csv,qedo.csv,genoviz.csv
genoviz.csv,0.07,0.04,0.07,0.0,0.0,1.0
irrlicht.csv,0.52,1.0,0.17,0.3,0.44,0.84
qedo.csv,0.02,0.11,0.0,0.0,0.96,0.0
qse.csv,0.63,0.29,0.93,0.45,0.17,0.75
toped.csv,0.98,0.34,0.23,0.47,0.34,0.24
truevision.csv,0.48,0.53,0.75,0.96,0.46,0.27
