,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.0,2.0,2.0,21.0,0.0,0.0,2.0,1.0,237.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0
amygdala.csv,1.0,1.0,3.0,13.0,0.0,0.0,11.0,5.0,1122.0,2.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
awemud.csv,2.0,2.0,3.0,0.0,0.0,0.0,9.0,6.0,1446.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
bullet.csv,2.0,3.0,0.0,11.0,0.0,2.0,8.0,2.0,1337.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,9.0
customwars.csv,0.0,0.0,71.0,2.0,0.0,87.0,1.0,60.0,0.0,1.0,111.0,72.0,367.0,0.0,1.0,0.0,54.0,0.0,0.0
dvd-create.csv,2.0,3.0,0.0,1.0,0.0,0.0,12.0,9.0,1912.0,1.0,25.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0
gbif-indexingtoolkit.csv,2.0,4.0,0.0,1.0,0.0,1.0,9.0,60.0,1548.0,52.0,17.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0
go.csv,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,797.0,52.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
growl-for-windows.csv,0.0,123.0,3.0,181.0,1.0,0.0,16.0,1.0,2488.0,52.0,1.0,1.0,367.0,0.0,0.0,0.0,2.0,0.0,0.0
gss.csv,1.0,1.0,2.0,3.0,0.0,2.0,5.0,5.0,726.0,52.0,18.0,0.0,18.0,4.0,1.0,1.0,0.0,1.0,0.0
kwave.csv,1.0,2.0,0.0,10.0,0.0,0.0,5.0,5.0,2488.0,1.0,9.0,3.0,6.0,0.0,0.0,49.0,1.0,53.0,1.0
libarchive.csv,1.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1014.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
linux-ntfs.csv,5.0,1.0,0.0,3.0,1.0,0.0,8.0,2.0,5.0,12.0,8.0,1.0,20.0,6.0,0.0,0.0,0.0,1.0,2.0
lsb.csv,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,2488.0,52.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
mpgravity.csv,107.0,123.0,71.0,181.0,91.0,87.0,144.0,60.0,2488.0,52.0,111.0,72.0,367.0,125.0,66.0,49.0,54.0,53.0,116.0
qcad2.csv,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,1.0,16.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,2.0
qtwin.csv,107.0,123.0,71.0,181.0,91.0,87.0,144.0,60.0,2488.0,52.0,111.0,72.0,2.0,0.0,2.0,49.0,54.0,53.0,116.0
roller.csv,1.0,4.0,0.0,1.0,0.0,2.0,12.0,2.0,1759.0,1.0,17.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0
xinity.csv,2.0,4.0,0.0,1.0,0.0,2.0,12.0,2.0,1745.0,2.0,12.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0
