,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.71,0.55,0.32,0.46,0.75,0.35,0.62,0.24,0.02,0.5,0.33,0.59,0.76,0.71,0.47,0.57,0.48,0.23,0.62
amygdala.csv,0.71,0.37,0.32,0.38,0.61,0.57,0.57,0.25,0.0,0.39,0.31,0.69,0.27,0.68,0.56,0.6,0.59,0.19,0.25
awemud.csv,0.82,0.81,0.22,0.35,0.82,0.52,0.52,0.3,0.01,0.24,0.27,0.69,0.53,0.74,0.55,0.71,0.56,0.75,0.63
bullet.csv,0.83,0.77,0.36,0.57,0.71,0.87,0.5,0.3,0.01,0.37,0.26,0.71,0.46,0.61,0.69,0.73,0.62,0.55,0.59
customwars.csv,0.1,0.12,0.0,0.08,0.08,0.0,0.04,0.0,0.25,0.24,0.0,0.0,0.0,0.08,0.05,0.12,0.0,0.11,0.08
dvd-create.csv,0.71,0.76,0.33,0.26,0.92,0.79,0.49,0.29,0.0,0.41,0.25,0.7,0.27,0.76,0.74,0.62,0.61,0.54,0.55
gbif-indexingtoolkit.csv,0.54,0.74,0.4,0.39,0.88,0.34,0.37,0.0,0.0,0.0,0.17,0.3,0.42,0.05,0.37,0.62,0.38,0.68,0.54
go.csv,0.8,0.87,0.47,0.21,0.7,0.67,0.62,0.29,0.01,0.0,0.26,0.73,0.6,0.73,0.7,0.75,0.61,0.86,0.65
growl-for-windows.csv,0.81,0.0,0.29,0.0,0.19,0.11,0.56,0.33,0.0,0.0,0.26,0.71,0.0,0.67,0.62,0.71,0.56,0.79,0.39
gss.csv,0.81,0.72,0.38,0.7,0.85,0.85,0.57,0.31,0.01,0.0,0.26,0.72,0.54,0.71,0.75,0.77,0.62,0.59,0.61
kwave.csv,0.16,0.05,0.35,0.03,0.03,0.06,0.17,0.19,0.0,0.5,0.07,0.31,0.18,0.5,0.28,0.0,0.42,0.0,0.07
libarchive.csv,0.83,0.81,0.29,0.27,0.71,0.81,0.61,0.27,0.01,0.45,0.26,0.75,0.54,0.74,0.75,0.61,0.58,0.84,0.64
linux-ntfs.csv,0.52,0.56,0.29,0.61,0.75,0.73,0.36,0.29,0.03,0.25,0.24,0.57,0.51,0.59,0.52,0.75,0.65,0.52,0.57
lsb.csv,0.54,0.48,0.13,0.69,0.83,0.41,0.22,0.35,0.0,0.0,0.26,0.48,0.42,0.24,0.35,0.62,0.51,0.54,0.3
mpgravity.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qcad2.csv,0.52,0.45,0.32,0.53,0.26,0.5,0.57,0.29,0.01,0.56,0.21,0.27,0.65,0.43,0.67,0.69,0.56,0.67,0.66
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.09,0.0,0.0,0.0,0.0
roller.csv,0.82,0.78,0.36,0.38,0.88,0.81,0.51,0.34,0.0,0.42,0.28,0.67,0.45,0.82,0.66,0.72,0.62,0.82,0.59
xinity.csv,0.46,0.72,0.44,0.22,0.76,0.53,0.37,0.32,0.0,0.37,0.21,0.46,0.43,0.55,0.79,0.64,0.57,0.72,0.47
