,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.48,0.61,0.69,0.54,0.46,0.79,0.41,0.75,0.3,0.47,0.55,0.55,0.29,0.42,0.86,0.85,0.72,0.87,0.46
amygdala.csv,0.71,0.77,0.74,0.64,0.57,0.64,0.56,0.82,0.88,0.81,0.57,0.47,0.79,0.57,0.7,0.79,0.94,0.9,0.84
awemud.csv,0.77,0.49,0.91,0.87,0.8,0.66,0.87,0.75,0.8,0.84,0.99,0.73,0.52,0.7,0.73,0.96,0.89,0.65,0.57
bullet.csv,1.0,0.66,0.95,0.42,0.52,0.86,0.8,0.82,0.75,1.0,0.96,0.89,0.92,0.88,0.8,0.95,0.97,0.83,0.53
customwars.csv,0.95,0.94,1.0,0.96,0.96,1.0,0.98,1.0,0.83,0.84,1.0,1.0,1.0,0.96,0.98,0.93,1.0,0.94,0.96
dvd-create.csv,0.82,0.83,0.73,1.08,0.56,0.47,1.0,0.96,0.98,0.68,0.99,0.6,0.92,0.92,0.85,0.78,0.9,0.88,0.8
gbif-indexingtoolkit.csv,0.77,0.98,0.69,1.0,1.0,0.81,0.76,1.0,1.07,1.0,0.8,0.9,0.8,0.98,0.76,0.99,0.77,0.78,0.99
go.csv,0.81,0.34,0.48,0.98,0.64,0.58,0.51,0.86,0.51,1.0,0.93,0.54,0.4,0.55,0.79,0.66,0.84,0.35,0.57
growl-for-windows.csv,0.56,1.0,0.71,1.0,0.89,0.94,0.67,0.79,1.0,1.0,1.0,0.75,1.0,0.5,0.75,0.96,0.58,0.37,0.76
gss.csv,0.78,0.74,0.84,0.34,0.35,0.81,0.54,0.8,0.5,1.0,0.89,0.69,0.61,0.93,0.92,0.45,0.75,0.97,0.48
kwave.csv,0.91,0.98,0.75,0.98,0.99,0.97,0.9,0.8,1.0,0.52,0.95,0.81,0.88,0.72,0.83,1.0,0.71,1.0,0.96
libarchive.csv,0.58,0.59,0.72,0.79,0.59,0.69,0.53,0.96,0.62,0.64,0.96,0.46,0.6,0.98,0.85,0.62,0.88,0.78,0.46
linux-ntfs.csv,0.71,0.71,0.75,0.36,0.56,0.59,0.71,0.65,0.83,0.77,0.7,0.62,0.58,0.7,0.88,0.54,0.46,0.97,0.54
lsb.csv,0.63,0.76,0.94,0.44,0.74,0.77,0.86,0.66,1.0,1.0,0.74,0.67,0.72,0.86,0.83,0.82,0.61,0.65,0.8
mpgravity.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qcad2.csv,0.66,0.71,0.76,0.45,0.85,0.73,0.49,0.68,0.41,0.44,0.74,0.84,0.41,0.77,0.74,0.82,0.64,0.59,0.42
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.97,0.95,1.0,1.0,1.0,1.0
roller.csv,0.68,0.98,0.87,1.0,1.0,1.01,0.93,0.77,1.01,0.8,0.87,0.89,0.94,0.34,0.81,0.91,1.0,0.89,1.0
xinity.csv,0.89,0.94,0.54,1.12,0.93,0.88,0.91,0.63,1.01,1.0,0.74,0.82,0.97,0.68,0.52,0.98,0.8,0.54,0.98
