,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.17,0.3,0.36,0.15,0.17,0.11,0.34,0.46,0.38,0.2,0.4,0.2,0.16,0.37,0.37,0.36
bdbbasic.csv,0.2,0.34,0.33,0.13,0.14,0.19,0.39,0.46,0.15,0.24,0.38,0.22,0.14,0.38,0.33,0.34
crux-framework.csv,0.4,0.31,0.37,0.39,0.41,0.18,0.37,0.38,0.32,0.29,0.16,0.32,0.45,0.36,0.41,0.4
echongl.csv,0.29,0.2,0.39,0.35,0.39,0.37,0.34,0.3,0.26,0.25,0.38,0.31,0.32,0.33,0.37,0.34
etherboot.csv,0.42,0.38,0.39,0.44,0.4,0.5,0.39,0.45,0.4,0.29,0.4,0.17,0.46,0.39,0.16,0.41
freebios.csv,0.38,0.25,0.29,0.37,0.39,0.44,0.33,0.45,0.38,0.23,0.32,0.29,0.38,0.34,0.35,0.33
gebr.csv,0.42,0.38,0.37,0.37,0.39,0.5,0.39,0.3,0.4,0.29,0.36,0.32,0.39,0.37,0.42,0.41
gnukeda.csv,0.41,0.32,0.29,0.3,0.35,0.31,0.29,0.24,0.28,0.28,0.28,0.23,0.44,0.34,0.35,0.41
google-gears.csv,0.38,0.25,0.39,0.27,0.41,0.5,0.38,0.46,0.4,0.29,0.4,0.3,0.38,0.37,0.42,0.41
gstreamer.csv,0.34,0.38,0.34,0.24,0.35,0.45,0.3,0.21,0.34,0.28,0.33,0.27,0.34,0.23,0.41,0.41
jnode.csv,0.42,0.38,0.39,0.44,0.39,0.5,0.39,0.46,0.4,0.29,0.4,0.32,0.46,0.39,0.42,0.41
metacosm.csv,0.19,0.32,0.19,0.39,0.24,0.14,0.33,0.12,0.12,0.24,0.19,0.17,0.34,0.16,0.15,0.19
openmeetings.csv,0.36,0.28,0.39,0.37,0.16,0.5,0.39,0.43,0.12,0.24,0.27,0.32,0.46,0.37,0.4,0.14
pgui.csv,0.34,0.23,0.39,0.18,0.3,0.17,0.39,0.22,0.28,0.29,0.15,0.29,0.18,0.39,0.42,0.41
tradelink.csv,0.33,0.38,0.36,0.39,0.34,0.47,0.34,0.26,0.37,0.29,0.3,0.27,0.4,0.34,0.28,0.28
wxcrp.csv,0.12,0.38,0.29,0.14,0.35,0.12,0.33,0.46,0.32,0.24,0.17,0.17,0.12,0.33,0.2,0.31
