,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.26,0.04,0.02,0.77,0.21,0.67,0.67,0.0,1.0,0.7,0.0,0.41,0.86,0.92,0.02,0.42
bdbbasic.csv,0.39,0.12,0.03,0.69,0.43,0.4,0.0,0.0,0.73,0.81,0.83,0.55,0.97,1.0,0.02,0.35
crux-framework.csv,1.0,0.67,0.27,0.5,0.0,0.16,1.0,0.57,0.5,1.0,0.19,0.0,1.0,0.57,1.0,1.0
echongl.csv,0.38,0.23,0.04,0.51,0.27,0.33,0.52,0.8,0.36,0.88,0.28,0.23,0.77,0.6,0.02,0.42
etherboot.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.0,0.0,0.08,0.47
freebios.csv,0.17,0.32,0.01,0.51,0.27,0.27,0.66,0.59,0.28,0.91,0.3,0.14,0.69,0.43,0.04,0.27
gebr.csv,0.29,0.14,0.04,0.54,0.27,0.32,0.49,0.84,0.28,0.72,0.29,0.19,0.78,0.59,0.03,0.47
gnukeda.csv,0.31,0.16,0.03,0.78,0.3,0.35,0.43,0.82,0.26,0.69,0.35,0.13,0.76,0.69,0.02,0.45
google-gears.csv,0.31,0.23,0.04,0.66,0.27,0.32,0.48,0.72,0.28,0.72,0.28,0.19,0.81,0.59,0.03,0.47
gstreamer.csv,0.34,0.12,0.02,0.62,0.27,0.32,0.37,0.86,0.32,0.72,0.29,0.22,0.8,0.75,0.03,0.47
jnode.csv,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
metacosm.csv,0.46,0.7,0.0,0.71,0.44,0.47,0.31,1.0,0.44,0.6,0.32,0.33,1.0,0.87,0.0,0.71
openmeetings.csv,0.8,0.67,0.0,0.67,0.45,0.0,0.0,1.0,0.67,0.79,0.56,0.0,1.0,0.9,0.0,0.67
pgui.csv,0.67,0.24,0.0,0.86,0.31,0.43,0.0,0.93,0.38,0.0,0.62,0.22,0.89,0.0,0.03,0.47
tradelink.csv,0.75,0.5,0.03,0.67,0.57,0.17,0.25,0.94,1.0,1.0,0.39,0.45,0.9,0.69,0.0,0.5
wxcrp.csv,0.75,0.14,0.04,0.74,0.26,0.76,0.67,0.72,1.0,0.43,0.23,0.29,0.84,0.91,0.04,0.46
