,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.84,0.97,0.9,0.75,0.85,0.68,0.96,1.0,0.89,0.87,1.0,0.64,0.85,0.94,0.79,0.77
bdbbasic.csv,0.6,0.92,0.84,0.73,0.74,0.58,1.0,1.0,0.43,0.51,0.89,0.69,0.73,0.97,0.76,0.86
crux-framework.csv,0.94,0.73,0.81,0.97,1.0,0.92,0.98,0.96,0.9,0.99,0.9,1.0,0.98,0.96,0.67,0.96
echongl.csv,0.58,0.48,0.99,0.87,0.91,0.74,0.76,0.53,0.59,0.33,0.94,0.76,0.71,0.85,0.88,0.87
etherboot.csv,1.0,1.0,1.0,1.0,0.86,1.0,1.0,0.99,1.0,1.0,1.0,0.75,1.0,1.0,0.4,1.0
freebios.csv,0.94,0.69,0.94,0.76,0.72,0.79,0.47,0.98,0.71,0.5,0.71,0.85,0.84,0.88,0.6,0.93
gebr.csv,1.0,1.0,0.95,0.92,0.92,1.0,1.0,0.45,1.0,1.0,0.89,0.99,0.81,0.95,1.0,1.0
gnukeda.csv,0.88,0.71,0.82,0.33,0.76,0.69,0.82,0.53,0.73,0.9,0.58,0.85,0.95,0.82,0.86,0.97
google-gears.csv,0.91,0.52,0.96,0.53,0.97,1.0,0.98,0.97,0.98,1.0,0.98,0.93,0.68,0.92,1.0,1.0
gstreamer.csv,0.75,0.97,0.98,0.6,0.86,0.91,0.98,0.5,0.8,0.9,0.83,0.73,0.65,0.42,0.91,1.0
jnode.csv,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0
metacosm.csv,0.81,0.68,1.01,0.87,0.82,0.59,0.94,0.78,0.8,0.91,0.69,0.7,0.9,0.79,1.02,0.37
openmeetings.csv,0.87,0.55,1.0,0.95,0.78,1.0,1.0,0.98,0.69,0.89,0.79,1.0,0.99,0.95,1.0,0.72
pgui.csv,0.74,0.48,1.0,0.55,0.66,0.53,1.0,0.47,0.53,1.0,0.62,0.79,0.68,1.0,1.0,1.0
tradelink.csv,0.81,0.95,0.89,0.9,0.82,0.97,0.97,0.85,0.89,0.99,0.82,0.74,0.92,0.91,1.02,0.69
wxcrp.csv,0.52,0.94,0.76,0.66,0.88,0.57,0.96,1.0,0.84,0.96,0.87,0.8,0.78,0.9,0.56,0.77
