,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.98,0.94,0.94,0.65,0.83,0.72,0.83,0.62,0.52,0.48,0.47,0.31,0.75,0.9,0.47,0.59,0.65,0.69,0.81,0.76
baadengine.csv,0.48,0.35,0.67,0.38,0.39,0.4,0.54,0.33,0.34,0.35,0.42,0.29,0.41,0.33,0.39,0.33,0.36,0.52,0.38,0.44
bibedt.csv,0.7,0.65,0.48,0.42,0.5,0.49,0.57,0.58,0.41,0.77,0.52,0.57,0.69,0.42,0.81,0.6,0.52,0.61,0.48,0.41
cascading.csv,0.46,0.44,0.39,0.51,0.4,0.55,0.62,0.41,0.44,0.65,0.56,0.37,0.56,0.41,0.51,0.48,0.43,0.86,0.41,0.47
chaosrts.csv,0.58,0.9,0.52,0.46,0.71,0.51,0.54,0.64,0.62,0.34,0.47,0.36,0.53,0.4,0.63,0.4,0.39,0.59,0.48,0.45
exl.csv,0.63,0.44,0.5,0.48,0.55,0.51,0.58,0.43,0.42,0.93,0.49,0.53,0.36,0.45,0.47,0.51,0.46,0.73,0.41,0.44
gnome-jabber.csv,0.59,0.56,0.68,0.56,0.49,0.72,0.64,0.6,0.67,0.4,0.54,0.33,0.42,0.44,0.52,0.58,0.49,0.45,0.42,0.48
gogoego.csv,0.49,0.39,0.83,0.46,0.43,0.53,0.47,0.6,0.5,0.38,0.43,0.8,0.39,0.43,0.48,0.36,0.37,0.34,0.38,0.35
httpcontentparser.csv,0.57,0.4,0.53,0.74,0.44,0.88,0.67,0.43,0.38,0.83,0.66,0.35,0.55,0.45,0.48,0.48,0.53,0.5,0.58,0.43
impala.csv,0.96,0.47,0.81,0.62,0.54,0.53,0.71,0.58,0.55,0.83,0.53,0.67,0.5,0.5,0.93,0.83,0.86,0.87,0.65,0.6
jaxlib.csv,0.59,0.74,0.98,0.54,0.44,0.62,0.54,0.58,0.98,0.61,0.47,0.8,0.64,0.45,0.96,0.72,0.61,0.8,0.47,0.44
jgameai.csv,0.98,0.8,0.97,0.94,0.92,0.72,0.77,0.92,0.98,0.54,0.97,0.54,0.83,0.88,0.9,0.91,0.95,0.98,0.97,0.85
jhotdraw.csv,0.49,0.45,0.38,0.47,0.43,0.54,0.0,0.37,0.87,0.62,0.72,0.56,0.63,0.56,0.58,0.52,0.44,0.95,0.46,0.52
patterntesting.csv,0.41,0.36,0.4,0.42,0.38,0.49,0.52,0.36,0.37,0.53,0.46,0.33,0.42,0.38,0.41,0.35,0.4,0.41,0.38,0.46
pokeglobal.csv,0.43,0.38,0.35,0.52,0.42,0.49,0.54,0.51,0.38,0.6,0.56,0.39,0.4,0.38,0.51,0.42,0.5,0.88,0.39,0.49
snakeyaml.csv,0.52,0.89,0.62,0.71,0.9,0.67,0.54,0.98,0.56,0.77,0.56,0.45,0.6,0.6,0.56,0.97,0.61,0.75,0.95,0.39
unflobtactical.csv,0.4,0.38,0.46,0.48,0.45,0.53,0.52,0.45,0.5,0.47,0.5,0.32,0.5,0.34,0.65,0.5,0.5,0.55,0.43,0.46
werx.csv,0.42,0.42,0.37,0.41,0.41,0.49,0.54,0.38,0.36,0.43,0.46,0.31,0.39,0.38,0.41,0.33,0.4,0.52,0.39,0.73
zealos.csv,0.99,0.88,0.88,0.58,0.83,0.94,0.59,0.71,0.74,0.52,0.83,0.5,0.71,0.5,0.89,0.97,0.7,0.67,0.52,0.5
