,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.06,0.8,0.09,0.0,0.12,0.5,0.07,0.43,0.44,0.57,1.0,1.0,0.5,0.34,0.78,0.24,0.32,0.74,0.3,0.44
baadengine.csv,0.78,0.6,0.19,1.0,0.54,0.31,1.0,0.9,0.85,0.8,0.9,1.0,1.0,0.89,0.85,1.0,0.72,1.0,0.94,0.9
bibedt.csv,0.33,0.4,0.44,1.0,0.54,0.85,0.8,0.52,0.79,0.4,0.85,1.0,0.8,0.6,0.52,0.24,0.48,0.24,0.4,0.78
cascading.csv,0.73,0.6,0.86,1.0,0.8,0.77,0.63,0.76,0.74,0.5,0.7,1.0,0.5,0.74,0.63,0.44,0.8,0.08,0.89,0.83
chaosrts.csv,0.61,0.2,0.38,1.0,0.32,0.46,1.0,0.45,0.27,0.83,0.75,1.0,0.8,0.74,0.52,0.44,0.67,0.87,0.81,0.9
exl.csv,0.3,0.6,0.69,1.0,0.59,0.88,0.53,0.76,0.76,0.23,0.6,0.0,0.6,0.49,0.81,0.56,0.83,0.16,0.94,0.78
gnome-jabber.csv,0.43,0.4,0.24,0.0,0.54,0.19,0.57,0.57,0.29,0.9,0.35,1.0,0.6,0.66,0.7,0.4,0.51,0.62,0.76,0.59
gogoego.csv,0.41,0.0,0.16,1.0,0.68,0.58,0.9,0.53,0.35,0.83,0.55,0.0,0.6,0.51,0.85,0.72,0.97,0.52,0.96,0.61
httpcontentparser.csv,0.32,0.2,0.35,0.0,0.63,0.04,0.1,0.57,0.94,0.17,0.8,0.5,0.6,0.51,0.85,0.48,0.56,0.02,0.25,0.59
impala.csv,0.04,0.8,0.29,1.0,0.68,0.96,0.4,0.49,0.48,0.4,0.8,0.0,0.9,0.63,0.11,0.56,0.32,0.57,0.53,0.59
jaxlib.csv,0.29,0.2,0.24,0.0,0.73,0.58,0.47,0.67,0.18,0.73,0.65,1.0,0.5,0.66,0.11,0.32,0.53,0.05,0.79,0.9
jgameai.csv,0.08,0.0,0.17,0.0,0.15,0.62,0.47,0.22,0.13,0.53,0.15,1.0,0.4,0.06,0.07,0.08,0.13,0.51,0.22,0.41
jhotdraw.csv,0.79,0.8,0.92,1.0,0.9,0.92,0.0,0.93,0.58,0.53,0.35,0.5,0.4,0.46,0.48,0.64,0.9,0.21,0.83,0.9
patterntesting.csv,0.94,0.8,0.85,1.0,1.0,1.0,0.9,0.95,0.92,0.7,1.0,1.0,0.8,0.94,1.0,0.6,0.96,0.47,0.97,1.0
pokeglobal.csv,0.89,1.0,0.99,1.0,0.73,0.58,1.0,0.45,0.95,0.7,0.85,0.0,1.0,0.54,0.74,0.8,0.67,0.08,0.96,0.83
snakeyaml.csv,0.32,0.0,0.24,0.0,0.22,0.15,0.4,0.14,0.61,0.33,0.5,0.5,0.3,0.37,0.7,0.04,0.27,0.17,0.13,0.41
unflobtactical.csv,0.82,0.8,0.6,1.0,0.66,0.85,0.47,0.78,0.6,0.97,0.85,1.0,0.7,0.77,0.63,0.4,0.57,0.23,0.79,0.93
werx.csv,0.98,1.0,0.96,1.0,0.98,1.0,1.0,0.87,1.0,0.97,0.95,1.0,1.0,0.97,0.96,0.96,0.97,1.0,0.96,0.54
zealos.csv,0.2,0.4,0.29,0.0,0.15,0.31,0.77,0.41,0.42,0.57,0.3,0.5,0.2,0.46,0.11,0.08,0.41,0.03,0.75,0.05
