,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.16,0.47,0.53,0.9,0.4,0.41,0.67,0.3,0.7,0.33,0.0,0.09,0.74,0.26,0.54,0.35,0.37,0.18,0.52
dspace-gsoc.csv,0.19,0.52,0.45,0.32,0.38,0.3,0.63,0.55,0.88,0.88,0.13,0.12,0.75,0.44,0.67,0.37,0.09,0.38,0.57
grisbi.csv,0.16,0.53,0.38,0.9,0.39,0.42,0.92,0.39,0.86,0.9,0.2,0.13,0.8,0.52,0.92,0.42,0.14,0.73,0.56
maidsafe-dht.csv,0.26,0.4,0.34,0.61,0.49,0.45,0.57,0.31,0.76,0.87,0.0,0.1,0.71,0.67,0.44,0.32,0.1,0.5,0.57
mesa3d.csv,0.08,0.32,0.14,0.2,0.28,0.33,0.57,0.52,0.67,0.44,0.2,0.13,0.4,0.28,0.76,0.41,0.0,0.19,0.4
n2cms.csv,0.2,0.64,0.41,0.44,0.36,0.27,0.77,0.39,0.55,0.91,0.25,0.1,0.62,0.5,0.58,0.33,0.29,0.71,0.57
nassp.csv,0.0,0.33,0.37,0.13,0.35,0.33,0.42,0.61,0.23,0.43,0.0,0.08,0.2,0.14,0.32,0.34,0.31,0.34,0.43
ninject.csv,0.02,0.35,0.33,0.29,0.23,0.37,0.15,0.25,0.49,0.38,0.0,0.04,0.54,0.27,0.35,0.32,0.56,0.56,0.59
nug.csv,0.12,0.44,0.32,0.42,0.09,0.63,0.02,0.32,0.52,0.09,0.12,0.07,0.46,0.0,0.44,0.27,0.11,0.45,0.0
nuttx.csv,0.12,0.32,0.25,0.8,0.27,0.33,0.51,0.36,0.21,0.35,0.23,0.15,0.29,0.33,0.56,0.22,0.0,0.61,0.41
oorexx.csv,0.23,0.3,0.37,0.21,0.45,0.31,0.58,0.5,0.36,0.73,0.23,0.19,0.19,0.58,0.61,0.3,0.0,0.69,0.25
oppna-program-hsatools.csv,0.16,0.56,0.38,0.76,0.35,0.45,0.88,0.37,0.91,0.9,0.0,0.11,0.74,0.57,0.65,0.35,0.13,0.73,0.56
redshell.csv,0.13,0.27,0.27,0.91,0.28,0.35,0.87,0.17,0.69,0.47,0.15,0.06,0.05,0.53,0.74,0.17,0.08,0.48,0.55
super-tux.csv,0.23,0.38,0.29,0.78,0.38,0.52,0.78,0.38,0.58,0.71,0.2,0.11,0.75,0.52,0.96,0.33,0.13,0.58,0.51
tart.csv,0.0,0.29,0.26,0.08,0.36,0.31,0.68,0.44,0.77,0.89,0.2,0.34,0.59,0.52,0.6,0.11,0.09,0.49,0.26
tcvp.csv,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.39,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
vdsf.csv,0.27,0.56,0.34,0.72,0.29,0.31,0.93,0.32,0.86,0.9,0.22,0.13,0.74,0.56,0.87,0.32,0.15,0.7,0.56
web-cat.csv,0.09,0.5,0.42,0.47,0.36,0.42,0.92,0.33,0.86,0.9,0.2,0.14,0.66,0.57,0.92,0.23,0.18,0.71,0.79
zabbix.csv,0.21,0.53,0.41,0.4,0.39,0.36,0.72,0.55,0.7,0.68,0.17,0.2,0.66,0.52,0.74,0.3,0.14,0.63,0.55
