,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.61,0.44,0.86,0.59,0.92,0.95,0.45,0.0
fceugc.csv,0.45,0.51,0.56,0.55,0.39,0.51,0.39,0.74
ftm.csv,0.51,0.91,0.62,0.82,0.46,0.57,0.43,0.48
google-gears.csv,0.52,0.58,0.69,0.4,0.39,0.51,0.53,0.62
jaolt.csv,0.99,0.72,0.31,0.5,0.35,0.43,0.43,0.55
jcache.csv,0.45,0.58,0.45,0.5,0.42,0.46,0.73,0.39
kmess.csv,0.92,0.95,0.36,0.9,0.45,0.9,0.47,0.47
xmemcached.csv,0.45,0.59,0.52,0.47,0.55,0.48,0.89,0.56
