,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.26,0.07,0.0,0.32,0.97,0.11,0.61,0.05
apolloplayer.csv,0.12,0.5,0.0,0.4,0.96,0.21,0.59,0.04
k3d.csv,0.1,0.67,0.08,0.18,1.0,0.48,0.57,0.0
redshell.csv,0.12,0.21,0.0,0.0,0.99,0.14,0.48,0.02
rtb-team.csv,0.42,0.33,0.0,0.67,0.96,0.2,0.62,0.11
xreal.csv,0.09,0.1,0.0,0.71,0.98,0.12,0.1,0.71
xstore.csv,0.14,0.41,0.0,0.6,0.92,0.19,0.74,0.0
