,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.58,0.48,0.38,0.36,0.5,0.75,0.87,0.67,0.49,0.44,0.5,0.51,0.42,0.52
biopax.csv,0.52,0.35,0.48,0.35,0.42,0.56,0.46,0.42,0.4,0.39,0.49,0.49,0.35,0.53
gnupdate.csv,0.65,0.54,0.7,0.4,0.47,0.72,0.67,0.55,0.46,0.8,0.56,0.47,0.44,0.68
les-indemodables.csv,0.5,0.41,0.57,0.46,0.54,0.6,0.43,0.57,0.47,0.42,0.43,0.47,0.63,0.51
openxava.csv,0.47,0.95,0.42,0.64,0.47,0.36,0.38,0.36,0.48,0.44,0.39,0.57,0.97,0.86
ppcboot.csv,0.51,0.37,0.48,0.35,0.43,0.85,0.47,0.44,0.45,0.39,0.48,0.49,0.35,0.44
repositorium.csv,0.75,0.86,0.96,0.86,0.99,0.86,0.87,0.61,0.96,0.38,0.88,0.94,0.68,0.75
rsyslog.csv,0.48,0.41,0.53,0.39,0.48,0.5,0.88,0.39,0.52,0.37,0.37,0.85,0.35,0.92
simplewebservices.csv,0.51,0.38,0.46,0.4,0.5,0.58,0.46,0.44,0.51,0.48,0.49,0.48,0.48,0.58
ultimairis.csv,0.52,0.35,0.39,0.35,0.44,0.57,0.46,0.59,0.74,0.92,0.5,0.0,0.41,0.67
vars-redux.csv,0.42,0.47,0.47,0.4,0.46,0.39,0.39,0.35,0.45,0.33,0.37,0.43,0.48,0.73
wow-qrsk.csv,0.5,0.55,0.38,0.39,0.61,0.92,0.83,0.0,0.75,0.35,0.0,0.49,0.82,0.62
wxstudio.csv,0.59,0.79,0.94,0.45,0.52,0.56,0.44,0.46,0.49,0.8,0.49,0.95,0.8,0.73
xqilla.csv,0.0,0.77,0.67,0.72,0.6,0.81,0.74,0.44,0.65,0.9,0.71,0.5,0.96,0.94
