,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.32,0.02,0.4,0.08,0.23,0.0,0.27,0.13,0.07,0.07,0.18
aztec.csv,0.09,0.0,0.76,0.97,0.31,0.13,0.14,0.05,0.09,0.33,0.54
bl-toolkit.csv,0.0,0.23,0.51,0.69,0.67,0.51,0.66,0.18,0.23,0.39,0.99
clamav.csv,0.23,0.39,0.18,0.03,0.36,0.31,0.14,0.29,0.42,0.43,0.53
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kml.csv,0.36,0.36,0.54,0.17,0.0,0.38,0.43,0.15,0.18,0.41,0.78
lufa-lib.csv,0.41,0.48,0.54,0.36,0.41,0.67,0.0,0.24,0.27,0.39,0.53
mplayer-ce.csv,0.82,0.68,0.75,0.83,0.82,0.65,0.51,0.89,0.7,0.49,0.01
qmmp.csv,0.36,0.39,0.82,0.31,0.46,0.62,0.37,0.0,0.43,0.7,0.87
xapian.csv,0.14,0.15,0.26,0.19,0.15,0.25,0.3,0.16,0.0,0.26,0.33
xtreemfs.csv,0.5,0.7,0.35,0.06,0.03,0.22,0.27,0.03,0.1,0.03,0.26
