,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.38,0.19,0.08,0.13,0.88,0.59,0.61,0.57,1.0,1.0,0.57,1.0,0.63
grafx2.csv,0.51,0.21,0.1,0.26,0.87,0.52,0.75,0.36,0.82,0.84,0.59,0.47,0.56
jahshakafx.csv,0.58,0.23,0.11,0.21,0.89,0.48,0.75,0.46,0.86,0.93,0.56,0.41,0.67
kftpgrabber.csv,0.51,0.22,0.0,0.15,0.95,0.41,0.75,0.67,1.0,1.0,0.61,0.75,0.71
kindb.csv,0.51,0.16,0.06,0.24,0.92,0.38,0.69,0.52,0.65,0.9,0.37,0.6,0.58
maya-work-in-progress.csv,0.35,0.14,0.08,0.23,0.82,0.37,0.76,0.38,0.73,0.85,0.38,0.33,0.56
netatalk.csv,0.51,0.15,0.06,0.13,0.83,0.37,0.5,0.35,0.76,0.79,0.33,0.5,0.55
nullc.csv,0.33,0.12,0.06,0.13,0.97,0.43,0.75,0.48,0.75,0.9,0.36,0.31,0.58
plee-the-bear.csv,0.55,0.23,0.18,0.11,0.77,0.3,0.86,0.28,0.58,0.68,0.48,0.32,0.53
reaper-ecad.csv,0.57,0.22,0.14,0.3,1.0,0.66,0.0,0.0,0.88,1.0,0.59,0.75,0.8
unimrcp.csv,0.41,0.17,0.1,0.19,0.95,0.51,0.59,0.48,0.91,0.89,0.48,0.64,0.64
unladen-swallow.csv,0.5,0.23,0.15,0.11,0.9,0.37,0.75,0.43,0.79,0.83,0.53,0.43,0.67
xmoto.csv,0.4,0.17,0.09,0.4,0.9,0.46,0.58,0.29,0.68,0.7,0.47,0.25,0.69
