,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.53,0.3,0.14,0.22,0.24,0.63,0.68,0.24,0.28,0.26,0.57,0.25,0.58
grafx2.csv,0.63,0.33,0.18,0.39,0.4,0.59,0.7,0.48,0.8,0.82,0.56,0.55,0.59
jahshakafx.csv,0.69,0.35,0.19,0.29,0.47,0.6,0.58,0.45,0.77,0.82,0.59,0.54,0.64
kftpgrabber.csv,0.48,0.25,0.0,0.11,0.52,0.41,0.17,0.41,0.35,0.21,0.73,0.33,0.4
kindb.csv,0.66,0.26,0.12,0.37,0.77,0.53,0.62,0.57,0.57,0.86,0.54,0.32,0.63
maya-work-in-progress.csv,0.52,0.24,0.14,0.37,0.9,0.52,0.79,0.53,0.78,0.85,0.54,0.49,0.66
netatalk.csv,0.65,0.25,0.12,0.23,0.52,0.5,0.63,0.38,0.74,0.85,0.43,0.56,0.6
nullc.csv,0.47,0.21,0.12,0.23,0.8,0.53,0.3,0.42,0.54,0.69,0.53,0.33,0.55
plee-the-bear.csv,0.64,0.29,0.3,0.06,0.47,0.4,0.68,0.36,0.59,0.65,0.46,0.41,0.54
reaper-ecad.csv,0.57,0.32,0.22,0.4,0.44,0.47,0.0,0.0,0.47,0.38,0.58,0.33,0.35
unimrcp.csv,0.56,0.28,0.17,0.32,0.54,0.59,0.66,0.58,0.62,0.79,0.58,0.56,0.56
unladen-swallow.csv,0.27,0.3,0.22,0.06,0.3,0.39,0.5,0.54,0.57,0.58,0.53,0.54,0.19
xmoto.csv,0.52,0.28,0.16,0.14,0.66,0.57,0.58,0.41,0.73,0.8,0.53,0.4,0.69
