,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.65,0.81,0.05,0.59,0.61,0.72
columba.csv,0.49,0.86,0.64,0.38,0.53,0.07
emftriple.csv,0.98,0.0,1.0,1.0,1.0,0.95
fluent-nhibernate.csv,0.8,1.01,0.88,0.12,0.97,0.91
gpsmid.csv,0.1,0.84,0.68,0.29,0.51,0.55
xamj.csv,0.48,1.06,0.68,0.68,0.04,0.73
