,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.44,0.45,0.67,0.39,0.33,0.28,0.55,0.44,0.33,0.33,0.45
haphazard.csv,0.64,0.88,0.66,0.61,0.66,0.48,0.87,0.68,0.48,0.73,0.48
jicarilla.csv,0.8,0.0,0.77,0.0,0.0,0.0,0.5,0.52,0.0,0.92,0.67
jruby.csv,0.45,0.43,0.84,0.77,0.52,0.43,0.0,0.31,0.42,0.53,0.56
optalgtoolkit.csv,0.69,0.57,0.66,0.46,0.95,0.52,0.52,0.33,0.52,0.79,0.94
ossim.csv,0.86,0.71,0.65,0.63,0.75,0.4,0.64,0.33,0.42,0.44,0.72
projectts.csv,0.44,0.5,0.54,0.49,0.34,0.29,0.55,0.8,0.32,0.4,0.44
qedo.csv,0.95,0.86,0.78,0.86,0.95,0.48,0.88,0.39,0.92,0.75,0.9
sabbu.csv,0.45,0.49,0.92,0.44,0.49,0.88,0.52,0.86,0.5,0.6,0.61
vxl.csv,0.51,0.74,0.57,0.76,0.46,0.42,0.79,0.89,0.44,0.36,0.49
zact.csv,0.69,0.92,0.96,0.6,0.83,0.0,0.58,0.55,0.92,0.56,0.85
