,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.57,0.26,0.07,0.06,0.06,0.38,0.52,0.81,0.18,0.12,0.86
haphazard.csv,0.41,0.28,0.47,0.04,0.05,0.3,0.65,0.64,0.33,0.18,0.86
jicarilla.csv,0.4,0.0,0.77,0.0,0.0,0.0,0.5,0.72,0.0,0.0,1.0
jruby.csv,0.53,0.28,0.58,0.08,0.07,0.36,0.0,0.7,0.16,0.04,0.91
optalgtoolkit.csv,0.57,0.28,0.48,0.06,0.05,0.67,0.48,0.72,0.19,0.11,0.83
ossim.csv,0.43,0.26,0.35,0.15,0.25,0.4,0.6,0.69,0.15,0.04,0.89
projectts.csv,0.65,0.29,0.15,0.07,0.06,0.34,0.71,0.6,0.22,0.06,0.86
qedo.csv,0.2,0.29,0.63,0.01,0.0,0.52,0.38,0.74,0.38,0.24,0.8
sabbu.csv,0.75,0.25,0.33,0.07,0.08,0.25,0.58,0.71,0.18,0.02,0.87
vxl.csv,0.65,0.32,0.29,0.09,0.06,0.27,0.68,0.78,0.21,0.08,0.88
zact.csv,0.47,0.08,0.6,0.08,0.11,1.0,0.58,0.61,0.15,0.12,0.9
