,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.43,0.11,0.43,0.57,0.15,0.29,0.78,0.96,0.32,0.44,0.61,0.54,0.48,0.31,0.13,0.31,0.25,0.68
decidr.csv,0.51,0.13,0.52,0.6,0.25,0.35,0.67,0.77,0.3,0.51,1.0,0.55,0.61,0.31,0.12,0.25,0.29,0.69
elmo.csv,0.19,1.0,0.0,0.17,0.1,0.6,1.0,0.5,0.13,0.08,0.77,0.33,0.29,0.0,0.0,0.0,0.29,0.52
gpac.csv,0.59,0.04,0.49,0.55,0.07,0.21,0.79,0.66,0.29,0.41,0.63,0.98,0.49,0.25,0.18,0.3,0.27,0.68
illumination.csv,0.93,0.11,0.27,0.18,0.25,0.21,0.46,0.54,0.7,0.31,0.71,0.64,0.5,0.0,0.07,0.31,1.0,0.58
img-browse-sort.csv,0.31,0.0,0.32,0.57,0.23,0.4,0.8,1.0,0.5,0.5,0.52,1.0,0.59,0.2,0.15,1.0,0.15,0.69
jajuk.csv,0.64,0.12,0.53,0.98,0.23,0.33,0.69,0.68,0.44,0.55,0.72,0.56,0.6,0.35,0.14,0.32,0.22,0.69
ktc.csv,0.97,0.1,0.63,0.89,0.39,0.32,0.89,0.73,0.68,0.52,0.67,0.6,0.7,0.36,0.24,0.33,0.26,0.76
miranda.csv,0.49,0.14,0.47,0.7,0.39,0.28,0.69,0.72,0.39,0.29,0.8,0.51,0.63,0.0,0.16,0.47,0.21,1.0
neoengine.csv,0.5,0.07,0.99,0.55,0.27,0.23,0.67,0.64,0.32,0.39,0.72,0.54,0.48,0.26,0.13,0.28,0.27,0.69
nicepress.csv,0.69,0.0,0.52,0.6,0.37,0.26,0.0,0.8,0.52,0.97,0.7,0.0,0.52,0.0,0.24,0.0,0.15,0.73
omseek.csv,0.34,0.04,0.88,0.52,0.5,0.23,0.65,0.76,0.33,0.54,0.61,0.52,0.38,0.33,1.0,0.11,0.12,0.77
rosegarden.csv,0.73,0.07,0.5,0.72,0.28,0.27,0.58,0.68,0.99,0.46,0.58,0.57,0.53,0.38,0.17,0.38,0.19,0.74
smarttag.csv,0.3,0.05,0.42,0.58,0.4,0.1,0.78,0.68,0.36,0.46,0.69,0.6,0.48,1.0,0.04,0.2,0.12,0.76
sylpheed-claws.csv,0.53,0.09,0.4,0.51,0.17,0.3,0.6,0.66,0.33,0.39,0.62,0.62,1.0,0.32,0.12,0.28,0.23,0.71
vapor.csv,0.57,0.0,0.46,0.56,0.08,0.95,0.0,1.0,0.36,0.57,0.57,0.0,0.5,0.42,0.13,1.0,0.33,0.78
zorannt.csv,0.49,0.06,0.35,0.43,1.0,0.17,0.56,0.62,0.43,0.32,0.61,0.67,0.56,0.25,0.13,0.5,0.1,0.67
zscreen.csv,0.49,0.09,0.51,0.59,0.2,0.36,1.0,0.73,0.34,0.38,0.6,0.61,0.56,0.26,0.12,0.26,0.19,0.7
