,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.54,0.19,0.51,0.65,0.26,0.4,0.74,0.98,0.45,0.53,0.67,0.66,0.6,0.44,0.22,0.44,0.37,0.74
decidr.csv,0.42,0.23,0.55,0.63,0.36,0.39,0.65,0.71,0.36,0.58,1.0,0.65,0.67,0.45,0.2,0.36,0.4,0.67
elmo.csv,0.05,1.0,0.0,0.02,0.06,0.2,0.12,0.02,0.06,0.04,0.11,0.03,0.03,0.0,0.0,0.0,0.17,0.09
gpac.csv,0.48,0.07,0.43,0.39,0.1,0.25,0.46,0.44,0.28,0.45,0.57,0.98,0.45,0.33,0.26,0.26,0.36,0.54
illumination.csv,0.22,0.14,0.22,0.03,0.07,0.28,0.31,0.36,0.23,0.26,0.03,0.43,0.28,0.0,0.11,0.31,0.94,0.17
img-browse-sort.csv,0.27,0.0,0.12,0.45,0.22,0.47,0.56,0.06,0.13,0.31,0.39,0.04,0.19,0.17,0.09,0.92,0.16,0.22
jajuk.csv,0.62,0.21,0.57,0.98,0.34,0.41,0.64,0.66,0.45,0.58,0.6,0.64,0.67,0.39,0.21,0.42,0.29,0.73
ktc.csv,0.96,0.13,0.52,0.58,0.39,0.3,0.52,0.46,0.56,0.39,0.38,0.37,0.42,0.36,0.29,0.36,0.3,0.57
miranda.csv,0.39,0.24,0.55,0.55,0.34,0.3,0.35,0.66,0.41,0.16,0.3,0.62,0.49,0.0,0.2,0.5,0.24,0.99
neoengine.csv,0.56,0.14,0.98,0.6,0.36,0.32,0.68,0.69,0.41,0.49,0.6,0.67,0.61,0.34,0.21,0.37,0.38,0.71
nicepress.csv,0.45,0.0,0.41,0.13,0.4,0.23,0.0,0.15,0.52,0.96,0.16,0.0,0.3,0.0,0.3,0.0,0.13,0.59
omseek.csv,0.32,0.08,0.12,0.34,0.15,0.25,0.35,0.52,0.31,0.29,0.31,0.6,0.39,0.2,0.95,0.09,0.12,0.31
rosegarden.csv,0.68,0.13,0.57,0.56,0.35,0.36,0.48,0.67,0.98,0.45,0.42,0.38,0.48,0.27,0.25,0.41,0.23,0.71
smarttag.csv,0.23,0.09,0.2,0.33,0.24,0.11,0.52,0.79,0.24,0.41,0.38,0.7,0.65,0.96,0.05,0.11,0.15,0.11
sylpheed-claws.csv,0.55,0.16,0.47,0.54,0.27,0.39,0.6,0.56,0.38,0.5,0.53,0.63,0.99,0.39,0.2,0.41,0.31,0.67
vapor.csv,0.31,0.0,0.39,0.13,0.12,0.89,0.0,0.17,0.39,0.19,0.15,0.0,0.02,0.48,0.17,0.14,0.17,0.22
zorannt.csv,0.25,0.1,0.29,0.44,0.93,0.14,0.39,0.48,0.26,0.22,0.43,0.4,0.52,0.37,0.18,0.24,0.07,0.53
zscreen.csv,0.46,0.16,0.38,0.69,0.27,0.45,0.99,0.69,0.34,0.45,0.65,0.68,0.53,0.37,0.19,0.37,0.28,0.55
