,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.31,0.95,1.0,0.97,0.76,0.55,0.93,1.0,0.9,1.0,0.9
ivef-sdk.csv,0.53,0.5,0.0,0.82,0.17,0.24,0.67,0.32,0.6,0.0,0.24
jaolt.csv,0.53,0.42,0.13,0.66,0.48,0.03,0.26,0.12,0.58,0.44,0.28
jmule.csv,0.72,0.6,0.1,0.74,0.55,0.85,0.37,0.5,0.53,0.6,0.17
jstock.csv,0.47,0.5,0.07,0.63,0.45,0.58,0.19,0.16,0.13,0.6,0.07
lphant.csv,0.56,0.55,0.27,0.68,0.69,0.27,0.44,0.23,0.58,0.48,0.59
novembre.csv,0.28,0.25,0.07,0.24,0.21,0.24,0.49,0.02,0.57,0.08,0.45
oorexx.csv,0.41,0.18,0.2,0.05,0.59,0.27,0.16,0.09,0.41,0.44,0.76
pi-qmc.csv,0.62,0.78,0.83,0.42,0.9,0.82,0.53,0.14,0.49,0.64,0.72
qedo.csv,0.22,0.22,0.03,0.03,0.28,0.15,0.58,0.5,0.22,0.24,0.34
yaprm.csv,0.38,0.4,0.0,0.32,0.1,0.0,0.67,0.11,0.51,0.56,0.72
