,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.76,0.28,0.68,0.5,0.71,0.44,0.2,0.28,0.08,0.58,0.43
ivef-sdk.csv,0.63,0.38,1.0,0.52,0.84,0.47,0.15,0.47,0.1,0.0,0.36
jaolt.csv,0.66,0.37,0.64,0.54,0.77,0.88,0.15,0.65,0.03,0.65,0.56
jmule.csv,0.6,0.31,0.67,0.44,0.78,0.4,0.41,0.33,0.05,0.61,0.81
jstock.csv,0.61,0.35,0.8,0.53,0.68,0.41,0.58,0.57,0.09,0.67,0.5
lphant.csv,0.68,0.35,0.53,0.54,0.74,0.62,0.32,0.5,0.09,0.61,0.51
novembre.csv,0.62,0.52,0.0,0.57,0.83,0.47,0.22,0.5,0.02,0.0,0.52
oorexx.csv,0.61,0.46,0.33,0.78,0.67,0.44,0.46,0.69,0.06,0.71,0.46
pi-qmc.csv,0.64,0.33,0.19,0.41,0.7,0.43,0.23,0.69,0.06,0.58,0.5
qedo.csv,0.42,0.18,0.98,0.75,0.5,0.38,0.19,0.1,0.25,0.6,0.38
yaprm.csv,0.73,0.38,1.0,0.68,0.79,1.0,0.22,0.6,0.11,0.63,0.43
