,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.71,0.57,0.71,0.75,0.91,0.77,0.58,0.75,0.6,0.82,0.9,0.76,0.88,0.77
doomlegacy.csv,0.61,0.41,0.45,0.48,0.65,0.46,0.54,0.56,0.51,0.4,0.53,0.52,0.41,0.61
empserver.csv,0.57,0.65,0.66,0.68,0.54,0.74,0.73,0.6,0.68,0.92,0.95,0.83,0.68,0.96
fritzing.csv,0.54,0.54,0.52,0.49,0.42,0.93,0.46,0.53,0.5,0.58,0.55,0.69,0.56,0.72
ifmo-game-1.csv,0.67,0.91,0.75,0.8,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
jparsec.csv,0.66,0.77,0.62,0.67,0.42,0.44,0.43,0.59,0.56,0.56,0.53,0.51,0.79,0.47
lmms.csv,0.94,0.8,0.49,0.51,0.49,0.52,0.47,0.92,0.49,0.43,0.54,0.56,0.47,0.5
lufa-lib.csv,0.56,0.6,0.6,0.67,0.93,0.92,0.67,0.43,0.76,0.62,0.64,0.79,0.86,0.72
pgui.csv,0.64,0.59,0.78,0.73,0.91,0.97,0.72,0.96,0.58,0.76,0.96,0.57,0.71,0.99
pi-qmc.csv,0.55,0.56,0.54,0.65,0.53,0.67,0.72,0.54,0.64,0.5,0.61,0.59,0.8,0.47
repositorium.csv,0.47,0.44,0.82,0.73,0.81,0.89,0.5,0.45,0.5,0.8,0.93,0.86,0.88,0.46
superwaba.csv,0.53,0.48,0.63,0.5,0.93,0.92,0.55,0.6,0.65,0.63,0.91,0.5,0.86,0.64
xapian.csv,0.81,0.56,0.58,0.62,0.62,0.67,0.55,0.62,0.9,0.49,0.84,0.65,0.57,0.5
zemljanka.csv,0.38,0.44,0.37,0.45,0.38,0.41,0.4,0.39,0.52,0.37,0.4,0.41,0.42,0.45
