,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.64,0.51,0.68,0.89,0.81,0.76,0.65,0.98,0.83,0.81,0.85,0.46,0.07,0.75
doomlegacy.csv,0.7,0.6,0.59,0.49,0.63,0.97,0.55,0.67,0.59,0.0,0.57,0.73,0.68,0.75
empserver.csv,0.52,0.74,0.75,0.83,0.03,0.87,0.69,0.58,0.63,0.78,0.74,0.76,0.75,0.85
fritzing.csv,0.46,0.02,0.55,0.71,0.6,0.65,0.72,0.72,0.74,0.66,0.53,0.55,0.61,0.79
ifmo-game-1.csv,0.94,0.89,0.98,0.29,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
jparsec.csv,0.57,0.79,0.81,0.86,0.95,0.84,0.9,0.09,0.87,0.9,0.8,0.78,0.77,1.0
lmms.csv,0.8,0.97,0.02,0.83,0.91,0.74,0.58,0.8,0.83,0.58,0.7,0.58,0.85,0.61
lufa-lib.csv,0.75,0.63,0.69,1.07,0.8,0.73,0.59,0.77,0.06,0.56,0.73,0.65,0.71,0.89
pgui.csv,0.68,0.8,0.73,0.61,0.63,0.79,0.04,0.81,0.8,0.71,0.67,0.65,0.58,0.82
pi-qmc.csv,0.61,0.56,0.66,0.78,0.7,0.86,0.75,0.69,0.75,0.63,0.61,0.0,0.64,0.51
repositorium.csv,0.6,0.64,0.78,0.92,0.74,0.18,0.7,0.5,0.5,0.79,0.89,0.96,0.75,0.69
superwaba.csv,0.04,0.49,0.66,0.69,0.7,0.83,0.58,0.78,0.73,0.67,0.85,1.0,0.59,0.68
xapian.csv,0.67,0.72,0.65,0.48,0.72,0.95,0.71,0.83,0.8,0.73,0.04,0.66,0.5,0.67
zemljanka.csv,0.79,0.94,0.89,0.99,0.95,0.98,1.0,0.97,0.95,0.92,0.98,1.0,1.0,0.11
