,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.45,0.61,0.51,0.07,0.3,0.18,0.39,0.04,0.3,0.37,0.22,0.62,0.96,0.41
doomlegacy.csv,0.38,0.57,0.74,0.24,0.52,0.1,0.47,0.43,0.58,1.0,0.41,0.44,0.37,0.66
empserver.csv,0.55,0.41,0.46,0.1,0.99,0.11,0.35,0.52,0.48,0.38,0.31,0.3,0.26,0.35
fritzing.csv,0.6,0.99,0.63,0.14,0.67,0.32,0.47,0.5,0.52,0.51,0.47,0.57,0.36,0.51
ifmo-game-1.csv,0.11,0.19,0.04,0.83,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
jparsec.csv,0.5,0.41,0.51,0.09,0.63,0.22,0.44,0.95,0.62,0.55,0.32,0.42,0.24,0.93
lmms.csv,0.29,0.05,0.99,0.1,0.52,0.21,0.47,0.31,0.31,0.76,0.31,0.45,0.37,0.84
lufa-lib.csv,0.46,0.53,0.5,0.0,0.32,0.26,0.43,0.55,0.97,0.62,0.29,0.44,0.33,0.57
pgui.csv,0.43,0.53,0.52,0.18,0.51,0.15,0.97,0.28,0.57,0.5,0.37,0.38,0.39,0.47
pi-qmc.csv,0.46,0.57,0.59,0.12,0.53,0.11,0.31,0.42,0.45,0.64,0.37,1.0,0.36,0.85
repositorium.csv,0.55,0.63,0.37,0.06,0.38,0.9,0.4,0.58,0.6,0.4,0.15,0.07,0.29,0.73
superwaba.csv,0.97,0.69,0.53,0.15,0.43,0.17,0.46,0.31,0.53,0.53,0.22,0.0,0.43,0.58
xapian.csv,0.44,0.45,0.53,0.29,0.52,0.06,0.34,0.33,0.3,0.55,0.98,0.41,0.45,0.76
zemljanka.csv,0.55,0.64,0.76,0.16,0.65,0.21,0.44,0.55,0.6,0.84,0.38,0.44,0.36,1.0
