,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.0,0.94,0.44,0.17,0.08,0.37,0.32,0.27,0.0,0.0,0.2,0.37
emono.csv,0.36,0.1,0.15,0.15,0.38,0.42,0.12,0.39,0.0,0.0,0.32,0.99
freedom-erp.csv,0.24,0.0,0.42,0.0,0.0,0.18,0.13,0.99,0.0,0.0,0.0,0.02
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0
jmoney.csv,1.0,0.17,0.55,0.06,0.35,0.63,0.67,0.6,0.0,0.0,0.26,0.07
jmonkeyengine.csv,0.36,0.0,0.18,0.1,1.0,0.48,0.02,0.22,0.14,0.14,0.13,0.12
jsidplay2.csv,0.5,0.38,1.0,0.31,0.43,0.59,0.31,0.69,0.15,0.05,0.37,0.76
matrex.csv,0.64,0.29,0.6,0.07,0.11,0.47,0.98,0.61,0.07,0.0,0.0,0.2
mediate.csv,0.59,0.35,0.61,0.44,0.26,0.97,0.61,0.47,0.12,0.0,0.3,0.51
mesa3d.csv,0.4,0.16,0.4,0.31,0.29,0.6,0.22,0.69,0.24,0.11,0.91,0.22
pustefix.csv,0.19,0.34,0.53,0.95,0.33,0.31,0.27,0.38,0.16,0.1,0.31,0.19
reaper3d.csv,0.0,0.26,0.21,0.06,0.1,0.24,0.12,0.0,1.0,0.19,0.03,0.0
