,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,60.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,107.0,67.0,2.0,0.0
emono.csv,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,107.0,67.0,10.0,0.0
freedom-erp.csv,1.0,78.0,0.0,84.0,67.0,0.0,0.0,0.0,107.0,67.0,322.0,0.0
jchassis.csv,60.0,78.0,78.0,84.0,67.0,0.0,147.0,166.0,107.0,0.0,322.0,121.0
jmoney.csv,0.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,107.0,67.0,6.0,0.0
jmonkeyengine.csv,0.0,78.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,10.0,0.0,0.0
jsidplay2.csv,4.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,22.0,6.0,7.0,0.0
matrex.csv,3.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,15.0,67.0,322.0,0.0
mediate.csv,0.0,4.0,1.0,0.0,19.0,0.0,0.0,7.0,31.0,67.0,4.0,2.0
mesa3d.csv,11.0,1.0,3.0,10.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0
pustefix.csv,14.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,8.0,4.0,1.0
reaper3d.csv,60.0,4.0,1.0,0.0,1.0,2.0,16.0,166.0,0.0,5.0,0.0,121.0
