,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.75,0.94,0.82,0.92,0.88,0.93,0.96,0.81,0.89,0.83,0.97,0.97
emono.csv,0.88,0.8,0.83,0.75,0.54,0.93,0.86,0.78,0.75,0.86,0.44,0.53
freedom-erp.csv,0.8,0.0,0.67,0.0,0.67,0.8,0.8,0.41,0.67,0.5,0.0,0.0
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
jmoney.csv,0.5,0.88,0.46,0.88,0.62,0.39,0.51,0.42,0.93,0.71,0.55,0.75
jmonkeyengine.csv,0.88,0.86,0.88,0.94,0.78,0.68,0.94,0.95,0.83,0.92,0.95,0.8
jsidplay2.csv,0.41,0.71,0.41,0.56,0.38,0.43,0.76,0.4,0.51,0.6,0.4,0.44
matrex.csv,0.5,0.92,0.45,0.83,0.8,0.5,0.46,0.5,0.89,0.88,0.0,0.92
mediate.csv,0.46,0.45,0.5,0.63,0.39,0.46,0.41,0.47,0.41,0.57,0.52,0.57
mesa3d.csv,0.7,0.89,0.77,0.82,0.9,0.44,0.94,0.43,0.89,0.94,0.85,0.94
pustefix.csv,0.82,0.61,0.74,0.76,0.83,0.92,0.82,0.66,0.94,0.84,0.57,0.94
reaper3d.csv,0.5,0.93,0.88,0.89,0.5,0.89,0.97,0.0,0.88,0.95,0.0,0.0
