,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.6,0.4,0.19,0.69,0.59,0.38,0.34,0.56,0.54,0.54
arsenal-1.csv,0.75,0.23,0.68,0.08,0.18,0.1,0.13,0.24,0.13,0.11
barracudamvc.csv,0.85,0.58,0.62,0.55,0.43,0.88,0.53,0.42,0.85,0.81
irplus.csv,0.75,0.59,0.32,0.65,0.54,0.53,0.58,0.55,0.7,0.61
lite.csv,0.28,0.17,0.59,0.15,0.12,0.46,0.27,0.62,0.21,0.2
mumble.csv,0.76,0.57,0.42,0.14,0.72,0.84,0.38,0.28,0.42,0.78
ontopia.csv,0.28,0.55,0.41,0.41,0.51,0.85,0.24,0.34,0.8,0.77
openintents.csv,0.48,0.61,0.61,0.66,0.25,0.47,0.51,0.48,0.65,0.68
ta3d.csv,0.46,0.21,0.54,0.09,0.15,0.41,0.39,0.1,0.13,0.63
tweetsharp.csv,0.5,0.51,0.63,0.55,0.49,0.66,0.37,0.38,0.82,0.62
