,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.41,0.45,0.52,0.32,0.46,0.2,0.07,0.7,0.08,0.83,0.95,0.0,0.47
badtrinity-zero.csv,0.81,0.0,0.66,0.0,0.37,0.08,0.08,0.0,0.18,0.9,0.94,0.78,0.5
bibletime.csv,0.46,0.53,0.57,0.48,0.39,0.13,0.08,0.77,0.1,0.92,0.92,0.75,0.45
critterding.csv,0.42,0.67,0.49,0.31,0.31,0.07,0.07,0.7,0.09,0.82,0.9,0.81,0.5
elateportal.csv,0.4,0.45,0.53,0.4,0.39,0.1,0.05,0.72,0.05,0.85,1.0,0.76,0.49
fmri-dmt.csv,0.38,0.43,0.44,0.3,0.19,0.05,0.06,0.62,0.28,0.78,0.86,0.71,0.33
ftm.csv,0.62,1.0,0.78,0.59,0.55,0.18,0.07,1.0,0.17,0.96,0.0,1.0,0.6
gusanos.csv,0.47,0.44,0.62,0.4,0.37,0.14,0.05,0.87,0.1,0.87,0.84,0.0,0.47
monetdb.csv,0.42,0.62,0.6,0.48,0.54,0.19,0.05,0.97,0.1,0.91,1.0,0.96,0.5
quarkplayer.csv,0.48,0.56,0.46,0.33,0.07,0.05,0.15,0.45,0.1,0.89,0.0,0.65,0.5
reactos-mirror.csv,0.61,0.54,0.57,0.47,0.45,0.1,0.1,0.71,0.11,0.9,0.92,0.75,0.35
sandiaportals.csv,0.46,0.48,0.57,0.38,0.41,0.15,0.06,0.81,0.08,0.89,0.67,0.91,0.52
xbplayer.csv,0.44,0.55,0.6,0.54,0.62,0.16,0.04,0.9,0.09,0.9,0.95,0.93,0.59
