,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.22,0.0,0.26,0.0,0.5,0.26,0.24,0.46,0.35,0.31,1.0,0.28,0.44
avifile.csv,0.02,1.0,0.0,0.0,0.12,0.56,0.0,0.02,0.02,0.0,0.0,0.0,0.0
baadengine.csv,0.99,0.39,0.0,0.88,0.65,0.38,0.75,0.63,0.52,0.68,0.64,0.56,0.74
gdis.csv,0.76,0.49,0.0,0.65,0.69,0.56,0.75,0.44,0.32,0.59,0.49,0.13,1.0
gogoego.csv,0.26,0.23,0.17,0.96,0.2,0.27,0.0,0.97,0.38,0.66,0.55,0.4,0.0
impala.csv,0.43,0.0,0.07,0.3,0.0,0.29,0.04,0.17,0.57,0.39,0.42,0.8,0.41
jgameai.csv,0.18,0.45,0.25,0.0,0.06,1.0,0.29,0.33,0.1,0.45,0.11,0.24,0.0
jhotdraw.csv,0.26,0.0,0.02,0.0,0.37,0.39,0.0,0.31,0.91,0.0,0.2,0.05,0.11
patterntesting.csv,0.43,0.22,0.3,0.0,0.52,0.35,0.56,0.56,0.56,0.99,0.54,0.23,0.63
pokeglobal.csv,0.52,0.23,0.0,0.95,0.98,0.22,0.65,0.6,0.51,0.44,0.52,0.49,0.71
werx.csv,0.0,0.13,0.99,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,0.0
zealos.csv,0.45,0.4,0.55,0.92,0.5,0.35,0.94,0.57,0.4,0.64,0.46,0.43,0.38
