,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.86,1.02,0.92,1.04,0.77,0.86,0.81,0.69,0.78,0.74,0.0,0.8,0.67
avifile.csv,0.99,0.0,1.0,1.02,0.93,0.59,1.0,0.98,0.98,1.0,1.0,1.0,1.0
baadengine.csv,0.02,0.88,1.05,0.4,0.55,0.75,0.53,0.71,0.8,0.5,0.69,0.75,0.55
gdis.csv,0.51,0.83,1.02,0.73,0.61,0.72,0.49,0.86,0.92,0.77,0.83,0.97,0.0
gogoego.csv,0.83,0.86,0.98,0.19,0.84,0.8,1.0,0.04,0.72,0.6,0.57,0.71,1.0
impala.csv,0.84,1.02,0.94,0.92,1.01,0.93,0.97,0.96,0.76,0.8,0.75,0.24,0.84
jgameai.csv,0.9,0.61,0.92,1.04,0.95,0.0,0.92,0.75,0.93,0.82,0.92,0.81,1.0
jhotdraw.csv,0.79,1.0,0.98,1.0,0.82,0.71,1.0,0.78,0.11,1.0,0.83,0.96,0.93
patterntesting.csv,0.75,0.97,1.01,1.06,0.62,0.75,0.53,0.61,0.56,0.04,0.6,0.88,0.66
pokeglobal.csv,0.78,0.94,1.03,0.21,0.02,0.85,0.58,0.64,0.62,0.67,0.81,0.7,0.57
werx.csv,1.0,0.97,0.01,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,1.0
zealos.csv,0.8,0.85,0.66,0.3,0.71,0.77,0.07,0.62,0.76,0.56,0.8,0.72,0.67
