,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.3,0.0,0.37,0.0,0.54,0.21,0.27,0.33,0.21,0.36,1.0,0.16,0.55
avifile.csv,0.04,1.0,0.0,0.0,0.16,0.44,0.0,0.04,0.03,0.0,0.0,0.0,0.0
baadengine.csv,0.99,0.08,0.8,0.05,0.68,0.31,0.57,0.43,0.28,0.6,0.48,0.2,0.88
gdis.csv,0.86,0.11,0.89,0.03,0.74,0.41,0.58,0.42,0.3,0.61,0.45,0.22,1.0
gogoego.csv,0.34,0.08,0.26,0.1,0.27,0.26,0.47,0.98,0.26,0.57,0.46,0.2,0.9
impala.csv,0.54,0.0,0.11,0.02,0.67,0.43,0.05,0.39,0.3,0.34,0.32,0.86,0.54
jgameai.csv,0.24,0.27,0.36,0.0,0.09,1.0,0.21,0.29,0.09,0.38,0.13,0.18,0.0
jhotdraw.csv,0.34,0.0,0.03,0.0,0.41,0.34,0.0,0.26,0.94,0.0,0.24,0.05,0.16
patterntesting.csv,0.53,0.05,0.48,0.0,0.56,0.31,0.51,0.39,0.37,0.97,0.44,0.1,0.8
pokeglobal.csv,0.66,0.05,0.84,0.09,0.99,0.21,0.49,0.4,0.32,0.43,0.43,0.2,0.85
werx.csv,0.86,0.14,1.0,0.02,0.74,0.45,0.47,0.39,0.31,0.56,0.46,0.22,0.9
zealos.csv,0.56,0.09,0.72,0.06,0.55,0.29,0.97,0.39,0.22,0.56,0.33,0.18,0.49
