,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.51,0.57,0.94,0.66,0.75,0.58,0.98,0.98,0.89,0.49
fulguro.csv,0.39,0.5,0.71,0.94,0.41,0.5,0.65,0.0,0.37,0.65
fw4spl.csv,0.65,0.61,0.69,0.69,0.56,0.89,0.57,0.84,0.58,0.54
google-web-toolkit.csv,0.38,0.72,0.74,0.59,0.44,0.55,0.48,0.49,0.46,0.63
jstock.csv,0.49,0.9,0.72,0.42,0.92,0.47,0.41,0.5,0.55,0.45
ldview.csv,0.49,0.99,0.71,0.64,0.4,0.65,0.44,0.5,0.4,0.57
nuttx.csv,0.89,0.91,0.76,0.88,0.92,0.5,0.98,0.8,0.75,0.9
utgb.csv,0.9,0.52,0.69,0.95,0.53,0.88,0.48,0.98,0.86,0.58
vdsf.csv,0.43,0.99,0.67,0.65,0.4,0.67,0.81,0.51,0.38,0.5
xbrlapi.csv,0.48,0.0,0.75,0.82,0.49,0.8,0.81,0.79,0.5,0.83
