,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.5,0.31,0.08,0.25,0.0,0.65,0.13,0.17,0.21,0.68
fulguro.csv,0.92,0.53,0.51,0.42,0.9,0.03,0.48,0.0,0.79,0.34
fw4spl.csv,0.3,0.26,0.31,0.36,0.45,0.35,0.28,0.2,0.37,0.46
google-web-toolkit.csv,0.92,0.2,0.15,0.19,0.65,0.11,0.3,0.39,0.44,0.33
jstock.csv,0.62,0.18,0.13,0.29,0.1,0.22,0.42,0.42,0.23,0.62
ldview.csv,0.5,0.12,0.51,0.71,0.81,0.27,0.73,0.55,0.53,0.59
nuttx.csv,0.08,0.01,0.51,0.14,0.13,0.22,0.11,0.2,0.16,0.13
utgb.csv,0.2,0.32,0.28,0.1,0.26,0.19,0.43,0.18,0.12,0.34
vdsf.csv,0.75,0.14,0.95,0.78,0.9,0.51,0.43,0.8,0.93,0.67
xbrlapi.csv,0.35,0.0,0.08,0.45,0.74,0.05,0.2,0.36,0.53,0.16
