,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.91,0.55,0.63,0.53,0.76
encog-java.csv,0.66,0.04,0.03,0.21,0.22
h2database.csv,0.61,0.7,0.11,0.7,0.27
jaql.csv,0.93,0.72,0.51,0.64,0.55
raven-monitoring.csv,0.34,0.36,0.63,0.36,0.06
