,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.64,0.51,0.62,0.57
jajuk.csv,0.29,0.68,0.64,0.64
vapor.csv,0.88,0.74,0.61,0.72
zorannt.csv,0.5,0.39,0.71,0.78
