,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.55,0.22,0.31,0.74
jajuk.csv,0.8,0.19,0.31,0.73
vapor.csv,0.44,0.17,0.34,0.77
zorannt.csv,0.71,0.33,0.27,0.71
