,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.62,0.43,0.51,0.45
jajuk.csv,0.18,0.68,0.59,0.61
vapor.csv,0.83,0.74,0.32,0.18
zorannt.csv,0.2,0.24,0.38,0.78
