,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.87,0.56,0.69,0.26,0.81,0.59,0.58,0.91,1.0,0.95,0.45,0.53,0.99,0.56,0.59,0.94,0.83,0.0,0.99,0.95
bl-toolkit.csv,0.49,0.36,0.36,0.21,0.35,0.0,0.35,0.59,0.68,0.77,0.5,0.73,0.53,0.17,0.31,0.31,0.86,0.43,0.57,0.42
capcode.csv,0.0,0.11,0.05,0.0,0.04,0.0,0.06,0.03,0.13,0.1,0.0,0.1,0.13,0.0,0.3,0.0,0.21,0.07,0.11,0.0
gebr.csv,0.85,0.71,0.69,0.62,0.58,0.36,0.45,0.78,0.68,0.72,0.03,0.63,0.94,0.5,0.59,0.56,0.7,0.93,0.87,0.77
gpac.csv,0.18,0.3,0.22,0.07,0.33,0.09,0.22,0.09,0.0,0.23,0.03,0.23,0.41,0.17,0.37,0.19,0.26,0.36,0.38,0.54
gretl.csv,0.61,0.44,0.62,0.62,0.63,0.32,0.67,0.38,0.83,0.69,0.21,0.07,0.88,0.28,0.57,0.75,0.74,0.5,0.91,0.8
kindb.csv,0.7,0.26,0.33,0.26,0.56,0.27,0.32,0.47,0.64,0.3,0.26,0.37,0.68,0.39,0.41,0.0,0.61,0.29,0.46,0.5
kowari.csv,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.44,0.02,0.0,0.0,0.0
libtorrent.csv,0.96,0.67,0.96,0.67,0.88,0.91,0.62,0.5,0.91,0.99,0.53,0.5,0.96,0.06,0.88,0.88,0.63,0.57,0.86,0.72
linuxsh.csv,0.01,0.23,0.0,0.0,0.02,0.45,0.33,0.16,0.49,0.15,0.0,0.0,0.09,0.17,0.12,0.12,0.06,0.14,0.34,0.21
lmms.csv,0.34,0.04,0.82,0.33,0.54,0.68,0.45,0.47,0.83,0.82,0.24,0.3,0.58,0.67,0.17,0.81,0.57,0.36,0.85,0.59
lufa-lib.csv,0.56,0.25,0.38,0.31,0.23,0.23,0.41,0.66,0.32,0.12,0.13,0.33,0.24,0.33,0.23,0.5,0.01,0.21,0.23,0.31
mbse.csv,0.35,0.4,0.18,0.38,0.44,0.32,0.25,0.06,0.45,0.0,0.66,0.47,0.29,0.28,0.08,0.12,0.49,0.29,0.23,0.42
mcmc-jags.csv,0.75,0.36,0.71,0.0,0.17,0.36,0.38,0.66,0.3,0.16,0.0,0.6,0.47,0.28,0.59,0.31,0.25,0.21,0.18,0.35
miranda.csv,0.3,0.3,0.27,0.07,0.31,0.18,0.22,0.5,0.51,0.43,0.08,0.07,0.32,0.44,0.19,0.12,0.15,0.36,0.19,0.01
modellus.csv,0.2,0.21,0.64,0.07,0.27,0.32,0.2,0.44,0.28,0.15,0.39,0.83,0.14,0.22,0.01,0.19,0.85,0.36,0.47,0.26
mplayer-ce.csv,0.48,0.74,0.45,0.55,0.69,0.59,0.46,0.72,0.79,0.49,0.84,0.7,0.5,0.56,0.49,0.69,0.29,0.71,0.0,0.53
nicepress.csv,0.21,0.12,0.24,0.07,0.13,0.0,0.03,0.09,0.15,0.69,0.03,0.33,0.41,0.0,0.08,0.06,0.51,0.0,0.55,0.24
sbml.csv,0.54,0.3,0.47,0.21,0.58,0.55,0.29,0.0,0.72,0.63,0.26,0.4,0.58,0.39,0.23,0.19,0.61,0.29,0.64,0.51
scite-ru.csv,0.92,0.7,0.65,0.62,0.0,0.77,0.64,0.69,0.32,0.45,0.03,0.13,0.76,0.22,0.62,0.25,0.36,0.64,0.31,0.47
