,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.39,0.39,0.46,0.57,0.35,0.51,0.46,0.38,0.31,0.37,0.44,0.41,0.36,0.34,0.37,0.45,0.5,0.39,0.37,0.35
bl-toolkit.csv,0.44,0.67,0.71,0.87,0.59,0.46,0.62,0.56,0.38,0.39,0.59,0.49,0.4,0.71,0.46,0.79,0.52,0.55,0.42,0.49
capcode.csv,0.92,0.92,0.86,0.5,0.5,0.83,0.9,0.67,0.9,0.97,0.5,0.88,0.9,0.0,0.79,0.5,0.63,0.67,0.99,0.89
gebr.csv,0.36,0.38,0.43,0.5,0.62,0.5,0.43,0.38,0.39,0.37,0.47,0.44,0.36,0.37,0.35,0.59,0.49,0.37,0.36,0.36
gpac.csv,0.81,0.63,0.93,0.75,0.54,0.9,0.66,0.74,0.5,0.66,0.95,0.79,0.5,0.69,0.62,0.69,0.85,0.43,0.63,0.51
gretl.csv,0.41,0.41,0.48,0.49,0.36,0.54,0.45,0.4,0.33,0.34,0.41,0.45,0.33,0.36,0.42,0.41,0.52,0.39,0.37,0.33
kindb.csv,0.34,0.41,0.45,0.53,0.35,0.44,0.43,0.38,0.32,0.52,0.42,0.32,0.33,0.36,0.37,0.36,0.4,0.39,0.41,0.35
kowari.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.83,0.0,0.5,0.0,0.0,0.83,0.5,0.67,0.88,0.75,0.0,0.0,0.0
libtorrent.csv,0.38,0.39,0.43,0.51,0.35,0.45,0.48,0.38,0.33,0.36,0.47,0.35,0.35,0.38,0.39,0.44,0.45,0.34,0.35,0.31
linuxsh.csv,0.0,0.67,0.9,0.0,0.75,0.81,0.62,0.67,0.52,0.97,0.79,0.95,0.86,0.64,0.75,0.89,0.92,0.5,0.65,0.7
lmms.csv,0.59,0.47,0.4,0.68,0.49,0.49,0.47,0.47,0.32,0.37,0.4,0.43,0.35,0.41,0.61,0.42,0.65,0.46,0.41,0.41
lufa-lib.csv,0.46,0.74,0.74,0.62,0.94,0.61,0.59,0.52,0.67,0.97,0.79,0.62,0.95,0.68,0.47,0.71,0.76,0.59,0.83,0.6
mbse.csv,0.53,0.64,0.67,0.63,0.4,0.65,0.67,0.83,0.48,0.77,0.63,0.57,0.65,0.61,0.64,0.4,0.49,0.54,0.62,0.47
mcmc-jags.csv,0.43,0.49,0.51,0.8,0.92,0.48,0.46,0.46,0.58,0.85,0.65,0.52,0.51,0.48,0.42,0.61,0.69,0.62,0.87,0.45
miranda.csv,0.76,0.46,0.55,0.88,0.52,0.62,0.59,0.37,0.43,0.59,0.51,0.61,0.57,0.43,0.48,0.36,0.94,0.41,0.85,0.41
modellus.csv,0.76,0.81,0.64,0.89,0.74,0.62,0.65,0.63,0.89,0.96,0.83,0.52,0.92,0.79,0.46,0.68,0.6,0.62,0.64,0.61
mplayer-ce.csv,0.62,0.5,0.53,0.68,0.46,0.57,0.56,0.47,0.43,0.58,0.5,0.52,0.59,0.52,0.54,0.52,0.83,0.42,0.59,0.49
nicepress.csv,0.78,0.79,0.8,0.8,0.77,0.83,0.59,0.94,0.84,0.51,0.85,0.61,0.49,0.94,0.89,0.86,0.62,0.57,0.54,0.66
sbml.csv,0.41,0.43,0.43,0.53,0.35,0.43,0.55,0.39,0.34,0.42,0.43,0.35,0.37,0.33,0.53,0.33,0.42,0.43,0.38,0.33
scite-ru.csv,0.39,0.43,0.51,0.45,0.81,0.5,0.45,0.4,0.64,0.63,0.67,0.62,0.42,0.47,0.43,0.6,0.54,0.34,0.63,0.43
