,f1,g,recall,precision,pf,wins
alsa.csv,0.57,0.605,0.715,0.43,0.53,13
arcallians.csv,0.545,0.585,0.7,0.47,0.515,12
arianne.csv,0.54,0.22499999999999998,0.955,0.38,0.945,1
aztec.csv,0.44,0.51,0.49,0.535,0.295,8
bl-toolkit.csv,0.53,0.25,0.835,0.36,0.9299999999999999,0
clamav.csv,0.5,0.55,0.585,0.53,0.485,7
gnupdate.csv,0.515,0.55,0.6599999999999999,0.45999999999999996,0.475,10
les-indemodables.csv,0.485,0.54,0.585,0.51,0.425,9
mbse.csv,0.46,0.525,0.555,0.41500000000000004,0.555,3
ns-3-dev-def-routing.csv,0.53,0.585,0.7,0.47,0.495,14
openxava.csv,0.32999999999999996,0.46499999999999997,0.44,0.475,0.335,2
phonon-vlc-mplayer.csv,0.56,0.55,0.65,0.55,0.395,15
qgis.csv,0.45999999999999996,0.445,0.5,0.45499999999999996,0.32999999999999996,5
vars-redux.csv,0.515,0.58,0.78,0.43,0.575,11
xapian.csv,0.565,0.46499999999999997,0.8200000000000001,0.41000000000000003,0.75,4
yafdotnet.csv,0.45499999999999996,0.54,0.52,0.48,0.33499999999999996,6
