,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.63,0.74,0.64,0.9,0.59,0.88,1.0,0.98,0.92,0.55,0.5,0.65,0.69,0.89,0.58,0.84
arcallians.csv,0.66,0.69,0.74,0.88,0.75,1.0,0.62,0.52,0.65,0.45,0.4,0.29,0.79,0.71,0.77,0.89
arianne.csv,0.7,0.94,1.0,0.96,0.98,0.92,0.81,1.0,0.9,0.95,1.0,0.99,0.97,0.94,0.62,0.97
aztec.csv,0.22,0.64,0.2,0.41,0.68,0.79,0.5,0.69,0.45,0.55,0.6,0.48,0.22,0.51,0.12,0.32
bl-toolkit.csv,0.75,0.71,0.74,0.43,1.0,0.96,0.69,1.0,0.78,1.0,0.95,0.99,0.89,0.5,0.77,1.0
clamav.csv,0.5,0.63,0.3,0.54,0.68,0.46,0.69,0.98,0.47,0.7,0.55,0.68,0.54,0.62,0.81,0.46
gnupdate.csv,0.59,0.73,0.24,0.81,0.8,0.96,0.31,0.23,0.88,0.45,0.8,0.56,0.81,0.54,0.38,0.84
les-indemodables.csv,0.6,0.58,0.88,0.49,0.52,0.46,1.0,0.95,0.59,0.5,0.35,0.32,0.47,0.6,0.62,0.68
mbse.csv,0.45,0.45,0.08,0.26,0.66,0.46,0.56,0.71,0.8,0.65,0.55,0.77,0.77,0.57,0.54,0.22
ns-3-dev-def-routing.csv,0.46,0.35,0.72,0.7,0.86,0.71,0.38,1.0,0.49,0.7,0.9,0.8,0.68,0.61,0.58,0.86
openxava.csv,0.33,0.43,0.1,0.07,0.18,0.33,0.69,0.18,0.59,0.65,0.45,0.64,0.47,0.23,0.5,0.46
phonon-vlc-mplayer.csv,0.38,0.58,0.68,0.78,0.52,0.12,0.62,1.0,0.78,0.45,0.85,0.53,0.78,0.68,0.38,0.92
qgis.csv,0.4,0.62,0.28,0.86,0.41,0.04,0.88,0.0,0.69,0.2,0.0,0.0,0.59,0.6,0.69,0.81
vars-redux.csv,0.57,0.65,0.84,0.58,0.3,0.04,1.0,0.98,0.78,0.9,0.9,0.9,0.64,0.6,0.81,0.78
xapian.csv,0.86,0.75,0.84,0.93,0.89,0.79,0.75,0.98,0.98,0.35,0.8,0.53,0.89,0.91,0.73,0.57
yafdotnet.csv,0.73,0.54,0.1,0.43,0.59,0.42,0.56,0.72,0.88,0.1,0.25,0.36,0.67,0.59,0.5,0.32
