,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.83,0.82,0.68,0.06,0.77,0.74,0.59,0.76,0.61,0.62
cities3d.csv,0.7,0.65,0.72,0.92,0.78,0.03,0.53,0.88,0.91,0.74
firebird.csv,0.8,0.71,0.02,0.58,0.63,0.68,0.79,0.67,0.57,0.67
hydrogen.csv,0.59,0.83,0.63,0.74,0.9,0.55,0.0,0.81,0.95,0.79
lphant.csv,0.51,0.85,0.79,0.84,0.85,0.68,0.59,0.69,0.0,0.76
open-ms.csv,0.68,0.92,0.7,0.7,0.77,0.83,0.81,0.7,0.63,0.07
qgo.csv,0.51,0.0,0.56,0.63,0.83,0.56,0.65,0.53,0.67,0.51
rhex.csv,0.42,0.7,0.69,0.74,0.91,0.84,0.75,0.8,1.0,0.84
xined.csv,0.83,0.86,0.83,0.76,0.83,0.76,0.63,0.1,0.58,0.9
yield.csv,0.69,0.64,0.7,0.86,0.05,0.89,0.83,0.87,0.58,0.78
