,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.0,7.0,15.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,6.0
aztec.csv,0.0,0.0,18.0,7.0,74.0,1.0,293.0,0.0,2.0,1.0,627.0
bl-toolkit.csv,0.0,318.0,15.0,6.0,0.0,0.0,16.0,5.0,1.0,0.0,3.0
clamav.csv,0.0,3.0,9.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,2.0
fm-classic.csv,71.0,318.0,0.0,55.0,74.0,121.0,293.0,124.0,113.0,384.0,627.0
kml.csv,2.0,2.0,17.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0
lufa-lib.csv,0.0,18.0,70.0,4.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0
mplayer-ce.csv,4.0,24.0,18.0,5.0,4.0,0.0,2.0,8.0,0.0,4.0,0.0
qmmp.csv,2.0,12.0,14.0,12.0,4.0,7.0,1.0,0.0,0.0,2.0,5.0
xapian.csv,1.0,3.0,9.0,8.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0
xtreemfs.csv,2.0,19.0,11.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0
