,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.75,0.28,0.13,0.41,0.71,1.0,0.42,0.36,0.25,0.8,0.49
aztec.csv,0.18,1.0,0.07,0.3,0.0,0.41,0.0,0.09,0.24,0.32,0.0
bl-toolkit.csv,1.0,0.0,0.07,0.39,0.37,0.61,0.34,0.42,0.11,0.27,0.42
clamav.csv,0.29,0.13,0.24,0.98,0.6,0.62,0.02,0.54,0.38,0.29,0.4
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kml.csv,0.45,0.35,0.1,0.31,0.97,0.7,0.62,0.64,0.47,0.82,0.59
lufa-lib.csv,0.31,0.22,0.0,0.46,0.7,0.48,1.0,0.34,0.39,0.66,0.38
mplayer-ce.csv,0.64,0.17,0.04,0.32,0.49,0.57,0.49,0.47,0.38,0.52,0.98
qmmp.csv,0.49,0.2,0.12,0.4,0.59,0.54,0.4,0.96,0.38,0.85,0.53
xapian.csv,0.27,0.2,0.11,0.35,0.21,0.32,0.24,0.42,0.94,0.33,0.29
xtreemfs.csv,0.81,0.18,0.12,0.41,0.7,0.71,0.3,0.7,0.44,1.0,0.45
