,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,99.0,91.5,490.0,479.0,98.5,99.0,1538.0,97.5,90.5,97.5,197.5,9472.0,198.0,454.5,99.0
amateur-scrolls.csv,92.5,180.0,80.5,382.5,98.5,95.5,445.5,97.5,45.5,97.5,0.0,3195.5,52.5,268.5,86.5
arianne.csv,99.0,99.0,391.5,387.5,98.5,97.5,837.5,97.5,482.5,97.5,297.0,22505.0,297.0,453.5,99.0
bl-toolkit.csv,85.5,99.0,93.5,94.5,97.5,99.0,970.0,97.5,189.0,526.0,297.0,13560.0,297.0,275.5,99.0
doomlegacy.csv,99.0,99.0,392.5,386.5,98.5,99.0,900.0,97.5,158.0,97.5,297.0,9768.0,97.5,359.0,99.0
enlightenment.csv,99.0,99.0,93.5,387.5,98.5,99.0,1758.0,97.5,482.5,97.5,197.5,24633.5,297.0,551.0,99.0
fritzing.csv,98.5,99.0,195.0,820.5,98.5,97.5,471.5,97.5,385.0,97.5,197.5,10734.5,198.0,352.0,95.5
gnukeda.csv,99.0,285.5,391.5,192.0,98.5,99.0,1842.5,97.5,289.5,97.5,198.0,16531.0,294.5,368.0,99.0
jlinalg.csv,99.0,486.5,195.0,94.5,98.5,99.0,1470.5,97.5,175.0,97.5,297.0,16863.0,196.0,462.5,99.0
knowledge.csv,99.0,97.5,391.0,387.5,98.5,99.0,1561.5,97.5,482.5,97.5,198.0,16760.5,297.0,454.5,99.0
massiv.csv,92.5,242.5,80.5,130.0,98.5,94.5,0.0,0.0,76.5,51.5,0.0,458.5,0.0,85.5,0.0
playerstage.csv,98.5,99.0,195.5,431.5,98.5,99.0,455.5,97.5,76.5,97.5,198.0,7625.5,99.0,266.5,97.5
psycle.csv,98.5,99.0,490.0,387.5,98.5,99.0,1758.0,97.5,188.0,97.5,297.0,16061.0,198.0,363.0,97.5
superwaba.csv,85.5,196.0,292.5,288.5,98.5,99.0,719.5,96.5,89.5,97.5,197.5,9555.5,492.5,551.0,99.0
wxcrp.csv,99.0,99.0,195.0,192.0,98.5,99.0,1195.5,97.5,482.5,97.5,296.5,22129.5,297.0,453.5,99.0
