,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.83,0.59,0.54,0.38,0.62,0.56,0.63,0.9,0.72,0.66,0.65,0.02,0.69,0.54,0.72
amateur-scrolls.csv,0.57,0.13,0.4,0.37,0.61,0.23,0.51,0.62,0.15,0.18,0.0,0.04,0.01,0.58,0.2
arianne.csv,0.78,0.78,0.49,0.45,0.6,0.71,0.59,0.94,0.82,0.72,0.74,0.01,0.77,0.46,0.83
bl-toolkit.csv,0.51,0.42,0.24,0.38,0.36,0.58,0.35,0.69,0.79,0.53,0.69,0.02,0.75,0.47,0.53
doomlegacy.csv,0.61,0.61,0.52,0.48,0.68,0.47,0.66,0.94,0.27,0.51,0.71,0.02,0.1,0.58,0.78
enlightenment.csv,0.88,0.79,0.38,0.45,0.66,0.67,0.58,0.96,0.82,0.71,0.7,0.01,0.71,0.47,0.86
fritzing.csv,0.73,0.67,0.59,0.42,0.74,0.47,0.57,0.91,0.7,0.54,0.64,0.03,0.46,0.34,0.3
gnukeda.csv,0.86,0.6,0.51,0.48,0.65,0.66,0.56,0.8,0.42,0.75,0.54,0.02,0.61,0.47,0.84
jlinalg.csv,0.88,0.47,0.36,0.44,0.56,0.59,0.52,0.62,0.48,0.64,0.57,0.02,0.61,0.51,0.78
knowledge.csv,0.87,0.62,0.58,0.46,0.65,0.59,0.56,0.92,0.79,0.71,0.64,0.02,0.78,0.41,0.78
massiv.csv,0.25,0.03,0.42,0.11,0.45,0.15,0.0,0.0,0.11,0.14,0.0,0.33,0.0,0.56,0.0
playerstage.csv,0.69,0.58,0.6,0.4,0.71,0.43,0.71,0.86,0.53,0.63,0.68,0.02,0.49,0.57,0.43
psycle.csv,0.74,0.74,0.54,0.46,0.7,0.67,0.59,0.94,0.71,0.68,0.71,0.02,0.72,0.58,0.82
superwaba.csv,0.35,0.54,0.68,0.49,0.54,0.42,0.47,0.67,0.59,0.55,0.36,0.02,0.66,0.56,0.78
wxcrp.csv,0.86,0.76,0.49,0.51,0.66,0.61,0.58,0.94,0.78,0.66,0.64,0.01,0.7,0.46,0.8
