,simplewebservices.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,rectracker.csv,javagroups.csv,jvcl.csv
gpsmid.csv,0.43,0.88,0.49,0.4,0.91,0.68,0.39,0.1
javagroups.csv,0.51,0.88,0.63,0.39,0.92,0.83,0.56,0.11
jvcl.csv,0.42,0.87,0.58,0.89,0.88,0.7,0.33,0.19
lphant.csv,0.43,0.7,0.55,0.62,0.87,0.81,0.37,0.13
rectracker.csv,0.41,0.57,0.42,0.41,0.84,0.94,0.36,0.1
simplewebservices.csv,0.59,0.67,0.45,0.41,0.87,0.62,0.37,0.12
xtreemfs.csv,0.52,0.7,0.5,0.41,0.94,0.74,0.33,0.1
yafdotnet.csv,0.65,0.79,0.62,0.41,0.75,0.69,0.4,0.14
