,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.26,0.18,0.5,0.33,0.27,0.62,0.02,0.03,0.05,0.32,0.16,0.29,0.14,0.04,0.33,0.56
bdbbasic.csv,0.61,0.68,0.56,0.44,0.27,0.68,0.18,0.19,0.79,0.86,0.37,0.46,0.42,0.38,0.67,0.89
crux-framework.csv,0.35,0.41,0.12,0.28,0.09,0.54,0.67,0.14,0.37,0.12,0.21,0.32,0.0,0.26,1.0,0.07
echongl.csv,0.52,0.36,1.0,0.62,0.82,0.59,0.18,0.43,0.79,0.86,0.42,0.52,0.79,0.6,0.67,0.59
etherboot.csv,0.03,0.59,0.0,0.03,0.59,0.05,0.0,0.6,0.42,0.0,1.0,0.05,0.92,0.0,1.0,1.0
freebios.csv,0.48,0.23,0.31,0.59,0.45,0.14,0.82,0.42,0.42,0.46,0.47,0.5,0.49,0.2,1.0,0.15
gebr.csv,1.0,1.0,0.94,1.0,0.95,1.0,1.0,0.66,1.0,0.99,0.95,0.97,0.88,1.0,1.0,1.0
glelite.csv,0.94,0.95,1.0,0.87,1.0,0.95,0.92,0.73,1.0,0.98,0.74,0.85,0.96,0.99,1.0,0.96
gnukeda.csv,1.0,0.91,0.56,0.74,0.86,0.73,0.29,0.55,0.47,0.71,0.53,0.97,0.66,0.24,0.67,0.96
google-gears.csv,0.77,0.77,0.88,0.38,0.86,1.0,0.57,0.76,1.0,0.98,0.58,0.74,0.95,0.86,1.0,0.96
gstreamer.csv,0.87,0.77,0.25,0.56,0.68,0.95,0.51,0.48,0.95,0.85,0.84,0.74,0.61,0.7,1.0,1.0
jnode.csv,0.0,0.36,0.69,0.41,0.05,0.0,0.12,0.44,0.21,0.12,0.11,0.16,0.01,0.02,0.33,0.07
metacosm.csv,0.35,0.59,0.62,0.41,0.14,0.43,0.1,0.44,0.32,0.42,0.58,0.31,0.35,0.35,0.67,0.7
openmeetings.csv,0.61,0.95,0.69,0.21,0.77,0.57,0.04,0.38,0.42,0.72,0.53,0.31,0.46,0.35,0.67,0.52
tradelink.csv,0.1,0.82,0.94,0.36,0.64,0.57,0.49,0.62,0.74,0.47,0.68,0.22,0.84,0.8,0.67,0.67
wxcrp.csv,0.65,0.86,1.0,0.67,1.0,0.89,0.71,1.0,0.95,0.97,0.74,0.66,0.99,0.87,0.67,0.89
