,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.41,0.36,0.34,0.33,0.37,0.43,0.43,0.46,0.44,0.37,0.38,0.41,0.55,0.36,0.37
firebird.csv,0.6,0.41,0.42,0.42,0.42,0.58,0.36,0.37,0.48,0.5,0.41,0.32,0.57,0.35,0.4
flylegacy.csv,0.58,0.37,0.45,0.44,0.49,0.49,0.42,0.43,0.58,0.43,0.64,0.57,0.61,0.45,0.53
gzigzag.csv,0.81,0.37,0.4,0.4,0.43,0.92,0.48,0.43,0.63,0.67,0.47,0.59,0.44,0.35,0.4
hydrogen.csv,0.41,0.37,0.34,0.39,0.41,0.44,0.52,0.39,0.52,0.4,0.46,0.29,0.54,0.0,0.42
mcore3d.csv,0.46,0.42,0.38,0.43,0.43,0.55,0.43,0.93,0.85,0.5,0.6,0.8,0.9,0.45,0.36
nabu-library.csv,0.92,0.92,0.75,0.43,0.47,0.46,0.93,0.67,0.65,0.83,0.91,0.82,0.52,0.9,0.93
ogrehg.csv,0.92,0.39,0.51,0.55,0.47,0.53,0.45,0.58,0.56,0.53,0.53,0.69,0.71,0.42,0.5
qgo.csv,0.38,0.42,0.33,0.36,0.36,0.41,0.33,0.35,0.43,0.4,0.38,0.27,0.38,0.38,0.37
qtractor.csv,0.93,0.9,0.57,0.51,0.44,0.45,0.41,0.38,0.55,0.52,0.58,0.33,0.43,0.35,0.47
rhex.csv,0.5,0.38,0.41,0.62,0.9,0.76,0.75,0.74,0.72,0.53,0.56,0.0,0.72,0.86,0.65
rocrail.csv,0.45,0.44,0.35,0.41,0.42,0.42,0.41,0.36,0.5,0.35,0.42,0.53,0.57,0.44,0.42
webdriver.csv,0.5,0.37,0.38,0.4,0.44,0.46,0.53,0.51,0.55,0.45,0.58,0.45,0.74,0.38,0.43
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0
yield.csv,0.42,0.36,0.33,0.33,0.38,0.46,0.39,0.39,0.51,0.33,0.4,0.29,0.62,0.35,0.37
