,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.16,0.49,0.78,0.55,0.74,0.58,0.25,0.43,0.22,0.6,0.48,0.86,0.52,0.18,0.29
firebird.csv,0.2,0.59,0.79,0.68,0.75,0.88,0.28,0.45,0.35,0.8,0.51,0.64,0.61,0.23,0.36
flylegacy.csv,0.12,0.52,0.88,0.52,0.71,0.51,0.23,0.45,0.14,0.65,0.45,0.61,0.53,0.2,0.25
gzigzag.csv,0.25,0.66,0.76,0.65,0.81,0.85,0.34,0.69,0.47,0.83,0.54,0.71,0.69,0.31,0.4
hydrogen.csv,0.13,0.46,0.74,0.52,0.68,0.48,0.19,0.48,0.38,0.54,0.39,0.65,0.52,0.0,0.22
mcore3d.csv,0.18,0.73,0.8,0.6,0.77,0.72,0.24,0.6,0.46,0.75,0.53,0.6,0.6,0.21,0.4
nabu-library.csv,0.17,0.25,1.0,0.55,0.69,0.48,0.43,0.31,0.18,0.58,0.46,0.76,0.76,0.2,0.07
ogrehg.csv,0.33,0.55,0.8,0.68,0.77,0.75,0.29,0.44,0.28,0.79,0.61,0.77,0.45,0.26,0.5
qgo.csv,0.14,0.84,0.74,0.53,0.73,0.6,0.26,0.51,0.22,0.52,0.44,0.65,0.68,0.22,0.26
qtractor.csv,0.29,0.5,0.87,0.7,0.74,0.63,0.31,0.58,0.24,0.78,0.54,0.7,0.66,0.26,0.37
rhex.csv,0.31,0.51,0.76,0.56,0.62,0.6,0.21,0.41,0.39,0.42,0.38,1.0,0.74,0.29,0.26
rocrail.csv,0.21,0.7,0.73,0.6,0.76,0.57,0.22,0.49,0.3,0.56,0.51,0.71,0.57,0.24,0.55
webdriver.csv,0.19,0.54,0.85,0.58,0.76,0.6,0.34,0.73,0.22,0.73,0.53,0.71,0.37,0.25,0.43
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0
yield.csv,0.13,0.55,0.74,0.58,0.71,0.78,0.24,0.46,0.18,0.64,0.48,0.69,0.46,0.19,0.3
