,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.58,0.8,0.59,0.72,0.54,0.47,0.85,0.78,0.35,0.5,0.42,0.21,0.98,0.53,0.65
firebird.csv,0.25,0.4,0.36,0.32,0.46,0.06,0.7,0.85,0.2,0.17,0.38,0.89,0.29,0.77,0.36
flylegacy.csv,0.54,0.74,0.27,0.82,0.68,0.72,0.92,0.89,0.83,0.54,0.54,0.58,0.87,0.74,0.71
gzigzag.csv,0.15,0.37,0.45,0.31,0.25,0.03,0.31,0.24,0.1,0.08,0.25,0.26,0.24,0.42,0.34
hydrogen.csv,0.96,1.0,1.0,1.0,1.0,1.0,0.74,0.89,0.18,1.0,1.0,1.0,1.0,0.0,1.0
mcore3d.csv,0.4,0.2,0.55,0.4,0.47,0.19,0.73,0.11,0.07,0.21,0.2,0.21,0.09,0.6,0.38
nabu-library.csv,0.12,0.26,0.0,0.72,0.75,0.81,0.09,0.54,0.42,0.21,0.25,0.21,0.29,0.19,0.18
ogrehg.csv,0.1,0.49,0.32,0.21,0.42,0.19,0.59,0.61,0.26,0.17,0.27,0.16,0.76,0.53,0.2
qgo.csv,0.86,0.14,1.0,0.81,0.6,0.47,0.74,0.5,0.51,1.0,0.59,0.89,0.34,0.67,0.8
qtractor.csv,0.12,0.14,0.18,0.22,0.53,0.4,0.44,0.35,0.37,0.25,0.37,0.47,0.26,0.58,0.34
rhex.csv,0.27,0.63,0.5,0.25,0.19,0.15,0.45,0.43,0.11,0.46,0.25,0.0,0.22,0.12,0.21
rocrail.csv,0.41,0.23,0.82,0.41,0.35,0.56,0.85,0.69,0.28,0.62,0.3,0.26,0.78,0.44,0.19
webdriver.csv,0.26,0.6,0.32,0.6,0.49,0.49,0.33,0.22,0.5,0.25,0.32,0.47,0.71,0.7,0.3
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0
yield.csv,0.67,0.54,0.91,0.65,0.75,0.19,0.99,0.96,0.62,0.5,0.59,0.74,0.91,0.91,0.62
