,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.4,0.77,0.42,2.0,183
acegisecurity.csv,0.61,0.44,0.45,0.49,2.0,412
adaptagrams.csv,0.32,0.5,0.18,0.64,1.0,585
adobe-source.csv,0.49,0.38,0.43,0.55,2.0,249
adonthell.csv,0.53,0.39,0.48,0.51,2.0,206
agilitybook.csv,0.4,0.45,0.32,0.61,1.0,481
aime.csv,0.21,0.36,0.22,0.81,2.0,455
alembik.csv,0.21,0.56,0.1,0.71,1.0,612
algebsql.csv,0.38,0.33,0.5,0.76,2.0,211
alleg.csv,0.43,0.42,0.36,0.54,2.0,324
alsa.csv,0.67,0.44,0.5,0.45,2.0,376
amanda.csv,0.59,0.46,0.46,0.52,2.0,449
ambulant.csv,0.57,0.39,0.54,0.56,2.0,243
anaxagora.csv,0.63,0.44,0.48,0.43,2.0,310
apertium.csv,0.21,0.4,0.15,0.56,2.0,290
apolloplayer.csv,0.57,0.4,0.48,0.5,2.0,259
applet2app.csv,0.57,0.5,0.34,0.46,1.0,539
arcallians.csv,0.69,0.43,0.58,0.48,2.0,309
ardour.csv,0.46,0.51,0.28,0.48,1.0,530
arianne.csv,0.95,0.38,0.93,0.41,2.0,59
arm-webradio.csv,0.38,0.4,0.38,0.63,2.0,316
array4j.csv,0.29,0.34,0.33,0.62,3.0,146
arsenal-1.csv,0.1,0.42,0.07,0.8,2.0,557
atlc.csv,0.65,0.38,0.62,0.53,2.0,192
atomsite.csv,0.72,0.44,0.56,0.4,2.0,283
atunes.csv,0.67,0.42,0.52,0.43,2.0,271
auber.csv,0.78,0.41,0.67,0.45,2.0,233
aubit4gl.csv,0.16,0.38,0.16,0.82,2.0,501
aufs.csv,0.39,0.38,0.35,0.64,2.0,351
autofac.csv,0.61,0.45,0.45,0.43,1.0,370
autoopencas.csv,0.26,0.27,0.4,0.8,3.0,121
autowikibrowser.csv,0.64,0.46,0.45,0.37,1.0,349
avifile.csv,0.45,0.35,0.53,0.67,2.0,184
awemud.csv,0.55,0.49,0.34,0.44,1.0,487
aztec.csv,0.4,0.5,0.24,0.59,1.0,579
azureus.csv,0.82,0.4,0.74,0.41,2.0,145
baadengine.csv,0.96,0.4,0.9,0.39,2.0,105
bacnet.csv,0.45,0.45,0.32,0.57,2.0,477
bacula.csv,0.65,0.44,0.49,0.5,1.0,436
badtrinity-zero.csv,0.44,0.46,0.32,0.57,1.0,491
badtrinitycore.csv,0.29,0.44,0.21,0.62,2.0,466
barracudamvc.csv,0.93,0.36,0.96,0.42,2.0,20
beast-mcmc.csv,0.69,0.46,0.5,0.44,1.0,430
benojt.csv,1.0,0.38,1.0,0.39,2.0,31
betoffice.csv,0.71,0.33,0.83,0.51,2.0,15
bibedt.csv,0.61,0.45,0.42,0.5,1.0,472
bibletime.csv,0.69,0.43,0.51,0.4,2.0,285
bigdata.csv,0.52,0.41,0.42,0.53,2.0,330
biodwh.csv,0.27,0.5,0.14,0.69,1.0,595
bionote.csv,0.39,0.5,0.22,0.57,1.0,574
biopax.csv,0.98,0.39,0.94,0.4,2.0,86
bl-toolkit.csv,0.72,0.38,0.74,0.46,2.0,73
blogentis.csv,0.48,0.38,0.54,0.59,2.0,164
bloodycore.csv,0.15,0.38,0.13,0.85,2.0,547
blue-c.csv,0.76,0.42,0.63,0.48,2.0,313
bnetd.csv,0.77,0.39,0.7,0.42,2.0,130
bochs.csv,0.73,0.37,0.64,0.45,2.0,149
boost-sandbox.csv,0.47,0.36,0.53,0.58,2.0,118
botsnscouts.csv,0.63,0.46,0.43,0.4,1.0,396
brlcad.csv,0.28,0.46,0.2,0.71,1.0,571
bscwweasel.csv,0.3,0.43,0.23,0.71,2.0,529
buddata-ebxml-registry.csv,0.97,0.38,0.94,0.39,2.0,48
bullet.csv,0.52,0.38,0.54,0.52,2.0,132
bulmages.csv,0.16,0.31,0.11,0.68,3.0,258
bzbyte.csv,0.47,0.17,0.49,0.37,11.0,7
calcubetimer.csv,0.69,0.39,0.63,0.46,2.0,159
capcode.csv,0.54,0.38,0.54,0.6,2.0,240
carabiner.csv,0.65,0.45,0.47,0.38,1.0,315
chaosrts.csv,0.62,0.41,0.5,0.49,2.0,289
chaperon.csv,0.37,0.35,0.4,0.64,2.0,203
checker-framework.csv,0.83,0.39,0.77,0.44,2.0,139
chipster.csv,0.17,0.36,0.16,0.69,3.0,313
chrysalis.csv,0.6,0.48,0.4,0.43,1.0,460
cities3d.csv,0.32,0.41,0.22,0.58,2.0,399
clamav.csv,0.72,0.44,0.54,0.4,2.0,307
cleartk.csv,0.78,0.38,0.74,0.46,2.0,122
cme.csv,0.0,0.0,0.01,0.0,59.0,4
co-ode-owl-plugins.csv,0.57,0.41,0.49,0.55,2.0,335
codeblocks.csv,0.47,0.49,0.3,0.5,1.0,514
codepurge.csv,0.51,0.44,0.39,0.47,2.0,340
codesmith.csv,0.66,0.36,0.68,0.51,2.0,94
columba.csv,0.6,0.47,0.42,0.39,1.0,380
continuum-ide.csv,0.21,0.42,0.18,0.8,2.0,557
coot.csv,0.42,0.29,0.42,0.54,3.0,33
cornerstone.csv,0.26,0.51,0.12,0.63,1.0,588
cortex-vfx.csv,0.42,0.5,0.27,0.58,1.0,570
crisscross.csv,0.94,0.38,0.89,0.42,2.0,96
critterding.csv,0.9,0.37,0.89,0.43,2.0,57
crux-framework.csv,0.32,0.41,0.27,0.7,2.0,474
ctrlr.csv,0.23,0.3,0.31,0.86,2.0,328
cubefs.csv,0.52,0.38,0.5,0.53,2.0,181
cuberok.csv,0.57,0.41,0.5,0.56,2.0,337
customsagetv.csv,0.32,0.48,0.19,0.62,1.0,566
customwars.csv,0.47,0.5,0.29,0.45,1.0,484
dataobjectsdotnet.csv,0.73,0.4,0.64,0.47,2.0,216
decidr.csv,0.84,0.4,0.77,0.41,2.0,134
delphilhlplib.csv,0.52,0.5,0.33,0.56,1.0,577
doomlegacy.csv,0.58,0.44,0.45,0.53,1.0,437
dsworkbench.csv,0.18,0.4,0.14,0.84,2.0,568
dvd-create.csv,0.75,0.41,0.64,0.42,2.0,200
dvt.csv,0.41,0.4,0.36,0.59,2.0,327
dxengine.csv,0.27,0.38,0.27,0.65,2.0,299
dynalloy.csv,0.64,0.37,0.64,0.56,2.0,176
e-bio-flow.csv,0.37,0.45,0.24,0.6,1.0,518
elateportal.csv,0.71,0.41,0.61,0.43,2.0,201
electric-core.csv,0.71,0.43,0.56,0.46,2.0,347
elmo.csv,0.59,0.4,0.54,0.53,2.0,252
elvishrayrenderer.csv,0.43,0.41,0.37,0.57,2.0,339
emeraldemu.csv,0.5,0.47,0.34,0.56,1.0,532
emftriple.csv,0.19,0.28,0.31,0.88,3.0,257
emisview.csv,0.12,0.33,0.06,0.61,3.0,215
emite.csv,0.25,0.46,0.17,0.75,1.0,582
emono.csv,0.72,0.38,0.73,0.48,2.0,101
empserver.csv,0.78,0.4,0.7,0.45,2.0,187
empyrean.csv,0.0,0.0,0.0,0.0,98.0,0
emulemorph.csv,0.02,0.19,0.0,0.5,5.0,9
encog-cs.csv,0.63,0.38,0.59,0.47,2.0,135
encog-java.csv,0.14,0.5,0.07,0.75,1.0,598
enlightenment.csv,1.0,0.38,1.0,0.4,2.0,37
enzo.csv,0.92,0.38,0.9,0.4,2.0,50
esmf.csv,0.69,0.4,0.62,0.51,2.0,248
etherboot.csv,0.55,0.23,0.33,0.38,7.0,12
etics.csv,0.4,0.52,0.22,0.62,1.0,599
exl.csv,0.54,0.42,0.45,0.53,2.0,348
exordium.csv,0.23,0.57,0.11,0.73,1.0,615
extprosys.csv,0.79,0.38,0.74,0.44,2.0,112
factor.csv,0.08,0.33,0.07,0.77,2.0,383
fbmanager.csv,0.24,0.4,0.1,0.47,2.0,273
fceugc.csv,0.41,0.38,0.39,0.64,2.0,311
ffigo.csv,0.31,0.38,0.23,0.67,2.0,427
fido.csv,0.0,0.0,0.0,0.0,51.0,5
findbugs.csv,0.47,0.42,0.42,0.54,2.0,292
firebird.csv,0.76,0.45,0.57,0.4,1.0,366
firebreath.csv,0.48,0.46,0.32,0.57,1.0,525
fityk.csv,0.65,0.42,0.56,0.46,2.0,245
fleet-simulator.csv,0.88,0.4,0.79,0.4,2.0,143
flexpay.csv,0.43,0.37,0.44,0.64,2.0,261
fltk.csv,0.58,0.46,0.42,0.55,2.0,498
fluent-nhibernate.csv,0.34,0.47,0.25,0.64,1.0,546
fluidium.csv,0.02,0.12,0.02,0.5,8.0,8
flylegacy.csv,0.7,0.42,0.6,0.47,2.0,266
