,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.39,1.01,1.0,0.96,0.89,0.97,0.99,0.88,0.87,1.0,1.0,0.95,0.99,0.98,1.0,1.0
calcubetimer.csv,0.83,0.71,1.01,0.76,0.39,0.52,0.98,0.98,0.86,0.18,0.9,0.45,0.57,0.88,0.85,0.79
chaosrts.csv,0.7,0.71,1.02,0.77,0.79,0.86,0.44,0.79,0.5,0.75,0.72,0.6,0.6,0.52,0.73,0.26
dxengine.csv,0.79,0.84,0.8,0.44,0.96,0.51,0.86,0.66,0.87,1.23,1.0,1.0,0.4,0.7,0.74,0.9
freedom-erp.csv,0.86,0.92,1.0,0.97,0.66,0.95,1.0,0.96,0.98,0.56,0.43,0.74,0.88,1.0,0.81,0.72
joustsim.csv,0.67,1.0,0.41,0.71,0.79,0.94,0.79,0.65,0.92,0.54,0.99,0.12,0.58,0.82,0.73,0.82
jsidplay2.csv,0.85,0.9,0.93,0.85,0.26,0.85,0.86,0.85,0.6,0.8,0.84,0.75,1.03,0.82,0.95,0.8
madman.csv,0.82,0.84,0.7,0.68,0.76,0.67,0.69,0.77,0.79,0.76,0.93,0.66,0.24,0.52,0.78,0.68
mclient-mume.csv,0.58,1.04,0.17,0.75,0.9,0.57,0.77,0.95,0.7,0.88,0.99,0.55,0.47,0.73,0.68,0.59
primefaces.csv,0.97,0.85,1.0,1.0,0.57,0.68,0.41,1.0,1.0,0.61,0.45,0.93,1.0,1.0,0.35,0.59
reaper3d.csv,0.67,1.07,0.43,0.51,0.62,0.54,0.69,0.9,0.75,0.82,0.67,0.67,0.43,0.38,0.9,0.9
sblim.csv,0.89,0.94,0.75,0.58,0.82,0.32,0.98,0.88,0.78,0.88,0.56,0.65,0.79,0.88,0.89,0.78
sevenupdate.csv,1.0,0.24,0.64,0.92,0.97,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0
springside.csv,0.77,1.07,0.44,0.65,0.66,0.65,0.35,0.79,0.72,0.45,0.59,0.36,0.51,0.78,0.82,0.56
swtfox.csv,0.64,0.61,0.93,0.74,0.89,1.02,0.95,0.42,0.81,1.24,0.85,1.08,0.83,0.78,1.0,0.77
tmva.csv,1.0,1.01,0.9,0.73,1.0,1.03,0.61,1.02,0.39,1.0,1.0,1.0,0.55,0.63,0.82,1.0
