,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.39,0.39,0.55,0.55,0.35,0.4,0.88,0.42,0.36,0.38,0.09,0.14,0.09,0.2,0.43
continuum-ide.csv,0.37,0.21,0.15,0.0,0.18,0.47,0.04,0.76,0.13,0.19,0.52,0.09,0.02,0.13,0.45
fleet-simulator.csv,0.7,0.65,0.5,0.32,0.09,0.0,0.61,0.0,0.47,0.27,0.41,0.0,0.98,0.45,0.46
hydrate.csv,0.32,0.44,0.55,0.0,0.09,0.07,0.24,0.75,0.13,0.54,0.43,0.27,0.58,0.27,0.65
ivef-sdk.csv,0.57,0.6,0.58,0.68,0.51,1.0,0.26,0.31,0.13,0.61,0.0,0.0,0.0,0.34,0.0
jmri.csv,0.47,0.33,0.62,0.23,0.18,0.62,0.52,0.65,0.55,0.19,0.42,0.38,0.2,0.2,0.31
kdenlive.csv,0.72,0.6,0.58,0.5,0.64,0.21,0.36,0.55,0.09,0.42,0.61,0.38,0.78,0.55,0.72
mia.csv,0.1,0.17,0.2,0.16,0.26,0.49,0.0,0.07,0.64,0.27,0.53,0.26,0.35,0.0,0.22
ontopia.csv,0.66,0.5,0.53,0.54,0.22,0.12,0.28,0.39,0.47,0.76,0.38,0.43,0.38,0.49,0.59
opentibia.csv,0.48,0.73,0.48,0.27,0.49,0.01,0.49,0.07,0.13,0.43,0.52,0.31,0.0,0.43,0.51
runuomondains.csv,0.54,0.45,0.64,0.22,0.25,0.12,0.45,0.6,0.43,0.54,0.87,0.43,0.0,0.17,0.46
somap.csv,0.0,0.0,0.5,0.46,0.38,0.0,0.47,0.0,0.24,0.0,0.27,0.88,0.0,0.0,0.0
taverna.csv,0.32,0.31,0.11,0.16,0.7,0.09,0.7,0.0,0.49,0.4,0.15,0.28,0.0,0.4,0.04
tigermud.csv,0.31,0.45,0.32,0.64,0.5,0.04,0.11,0.42,0.2,0.48,0.29,0.63,0.0,0.68,0.64
x-ray-mule.csv,0.2,0.1,0.07,0.86,0.5,0.0,0.0,0.21,0.07,0.37,0.0,0.43,0.31,0.27,0.04
