,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,0.48,0.69,0.53,0.6,0.44,0.76,0.88,0.31,0.12,0.49,0.19,0.22,0.14,0.28,0.66
continuum-ide.csv,0.42,0.29,0.2,0.0,0.21,0.57,0.06,0.67,0.11,0.27,0.22,0.13,0.04,0.2,0.52
fleet-simulator.csv,0.81,0.79,0.61,0.61,0.5,0.82,0.6,0.47,0.17,0.89,0.24,0.84,0.99,0.5,0.73
hydrate.csv,0.41,0.55,0.54,0.0,0.51,0.11,0.27,0.57,0.09,0.66,0.21,0.37,0.68,0.34,0.7
ivef-sdk.csv,0.73,0.72,0.56,0.81,0.41,1.0,0.25,0.22,0.08,0.72,0.0,0.67,0.0,0.39,0.0
jmri.csv,0.57,0.43,0.62,0.27,0.15,0.72,0.51,0.49,0.18,0.26,0.26,0.55,0.29,0.29,0.38
kdenlive.csv,0.76,0.71,0.56,0.58,0.55,0.35,0.39,0.5,0.17,0.59,0.26,0.51,0.85,0.6,0.82
mia.csv,0.15,0.24,0.25,0.21,0.3,0.6,0.0,0.11,0.34,0.38,0.27,0.36,0.46,0.0,0.31
ontopia.csv,0.78,0.92,0.53,0.62,0.23,0.55,0.31,0.35,0.14,0.85,0.16,0.61,0.85,0.54,0.68
opentibia.csv,0.56,0.83,0.48,0.34,0.41,0.03,0.65,0.09,0.1,0.54,0.22,0.42,0.56,0.75,0.64
runuomondains.csv,0.63,0.56,0.62,0.26,0.21,0.19,0.45,0.5,0.23,0.67,0.56,0.54,0.52,0.21,0.53
somap.csv,0.76,0.9,0.57,0.76,0.53,0.58,0.62,0.47,0.16,0.79,0.23,0.92,0.93,0.77,0.78
taverna.csv,0.41,0.41,0.16,0.2,0.67,0.14,0.68,0.0,0.33,0.52,0.15,0.38,0.86,0.66,0.06
tigermud.csv,0.61,0.8,0.59,0.76,0.43,0.06,0.12,0.41,0.09,0.62,0.17,0.87,0.85,0.73,0.76
x-ray-mule.csv,0.26,0.16,0.1,0.87,0.41,0.0,0.0,0.27,0.06,0.47,0.0,0.55,0.41,0.36,0.06
