,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.57,0.69,0.45,0.0,0.5,0.58,0.07,0.42,0.0,0.23,0.43,0.48,0.73
bibletime.csv,0.38,0.62,0.64,0.67,0.67,0.59,0.56,0.52,0.65,0.69,0.66,0.45,0.67
boost.csv,0.71,0.56,0.64,0.71,0.38,0.54,0.65,0.7,0.55,0.69,0.69,0.59,0.67
codepurge.csv,0.51,0.58,0.42,0.71,0.52,0.55,0.39,0.3,0.56,0.56,0.4,0.75,0.39
etics.csv,0.77,0.35,0.48,0.58,0.18,0.39,0.43,0.35,0.5,0.69,0.2,0.29,0.63
gusanos.csv,0.57,0.28,0.2,0.51,0.18,0.66,0.63,0.35,0.77,0.17,0.66,0.59,0.54
kvs.csv,0.57,0.36,0.13,0.27,0.72,0.43,0.09,0.41,0.36,0.47,0.6,0.05,0.2
mcore3d.csv,0.27,0.43,0.66,0.54,0.51,0.58,0.39,0.27,0.55,0.64,0.66,0.5,0.51
modellus.csv,0.51,0.39,0.57,0.71,0.12,0.58,0.78,0.6,0.64,0.35,0.49,0.58,0.69
monetdb.csv,0.1,0.35,0.52,0.17,0.12,0.65,0.35,0.26,0.25,0.37,0.28,0.49,0.04
projecteqemu.csv,0.68,0.39,0.5,0.52,0.12,0.57,0.43,0.47,0.45,0.78,0.39,0.42,0.64
pydev.csv,0.69,0.45,0.3,0.4,0.64,0.56,0.24,0.31,0.38,0.55,0.68,0.43,0.6
xbplayer.csv,0.43,0.58,0.45,0.67,0.29,0.64,0.51,0.71,0.5,0.56,0.63,0.6,0.51
