,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,0.53,0.02,0.91,0.03,0.26,0.04,0.78,0.01,0.05,0.17,0.82,0.07,1.0,0.18,0.27,0.89,0.12,0.87,0.66,0.8
fbmanager.csv,1.0,0.07,0.84,0.03,0.4,0.05,0.85,0.07,0.08,0.15,0.79,0.07,0.8,0.3,0.35,0.92,0.17,0.82,0.59,0.79
fleet-simulator.csv,0.52,0.03,0.92,0.04,0.26,0.05,0.81,0.03,0.05,0.14,0.79,0.08,0.84,0.19,0.27,1.0,0.09,0.86,0.63,0.83
hannosset.csv,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.22,0.25,0.0,0.0,0.0,0.5,1.0
hydrate.csv,0.56,0.04,0.94,0.04,0.36,0.09,0.84,0.03,0.04,0.19,0.8,0.05,0.8,0.23,0.3,1.0,0.21,0.9,0.97,0.81
jgossipforum.csv,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,1.0,0.0
jruby.csv,0.59,0.0,0.94,0.04,0.26,0.1,0.84,0.03,0.05,0.22,0.79,0.09,0.82,0.18,0.28,1.0,0.12,0.99,0.69,0.82
madman.csv,1.0,0.05,1.0,0.04,0.12,0.0,1.0,0.0,0.44,1.0,1.0,0.15,0.92,0.21,0.42,1.0,0.33,0.6,0.67,0.84
mediaportal.csv,0.0,0.0,1.0,0.02,0.25,0.2,0.86,0.02,0.01,0.5,0.72,0.0,0.73,1.0,0.19,0.85,0.04,0.87,0.6,0.57
ninject.csv,1.0,0.11,1.0,0.08,0.75,0.0,0.89,0.0,0.27,0.4,0.86,0.0,0.91,0.37,0.64,1.0,1.0,0.86,0.93,0.91
officefloor.csv,0.6,0.0,0.96,1.0,0.24,0.0,0.86,0.02,0.0,0.0,0.84,0.07,0.71,0.14,0.23,0.87,0.06,0.86,0.25,0.64
ontopia.csv,0.57,0.0,0.88,0.03,0.2,0.06,1.0,0.02,0.05,0.21,0.81,0.09,0.8,0.17,0.2,0.82,0.08,0.87,0.79,0.71
poormans.csv,0.7,0.09,0.88,0.05,0.59,0.0,0.79,0.0,0.18,0.14,0.75,0.09,0.9,0.23,0.97,1.0,0.5,0.89,0.73,0.86
power-architect.csv,0.54,0.02,0.88,0.04,0.29,0.04,0.76,0.02,0.08,0.16,1.0,0.08,0.83,0.21,0.27,0.96,0.12,0.87,0.63,0.88
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.67,0.5,0.67,0.0,0.0,0.0,0.0,0.0
stuproa-cims.csv,0.58,0.0,0.93,0.03,1.0,0.07,0.86,0.02,0.04,0.14,0.81,0.1,0.86,0.21,0.21,1.0,0.08,0.87,0.63,0.71
tart.csv,0.0,1.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.0,0.0,1.0,1.0,0.5
uface.csv,0.57,0.02,0.9,0.04,0.3,0.06,0.85,0.03,0.05,0.15,0.77,0.08,0.75,0.2,0.29,0.98,0.12,0.86,0.62,1.0
wxlua.csv,0.59,0.03,1.0,0.03,0.28,0.07,0.85,0.02,0.04,0.15,0.77,0.08,0.76,0.2,0.22,0.96,0.08,0.87,0.64,0.67
