,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,0.97,1.0,0.73,0.92,0.78,0.8,0.42,0.4,0.8,0.88,0.78,0.83,0.98,0.91,0.76,0.76,0.8,0.94,0.94,0.67
fbmanager.csv,0.97,1.0,0.3,0.71,0.36,0.6,0.46,1.0,0.6,0.38,0.61,0.5,0.68,0.71,0.79,0.22,0.4,0.29,0.3,0.38
fleet-simulator.csv,1.0,1.0,1.0,0.95,0.75,1.0,0.63,1.0,1.0,1.0,0.98,1.0,0.82,1.0,0.97,1.0,0.6,0.87,1.0,0.87
hannosset.csv,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,0.02,0.02,0.03,0.0,0.0,0.0,0.03,0.04
hydrate.csv,0.41,1.0,0.74,0.76,0.47,0.4,0.42,0.8,0.6,0.5,0.76,0.17,0.49,0.82,0.76,0.7,0.6,0.65,0.97,0.53
jgossipforum.csv,0.0,0.0,0.01,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.09,0.02,0.0,0.0,0.0,0.0,0.03,0.0
jruby.csv,0.29,0.0,0.17,0.89,0.67,0.6,0.57,0.8,1.0,1.0,0.56,0.83,0.56,0.32,0.71,0.52,0.4,1.0,0.27,0.21
madman.csv,0.03,1.0,0.07,0.08,0.04,0.0,0.08,0.0,0.8,1.0,0.11,0.33,0.19,0.09,0.15,0.17,0.2,0.02,0.06,0.19
mediaportal.csv,0.0,0.0,0.01,0.32,0.85,0.4,0.78,0.6,0.2,0.12,0.33,0.0,0.72,0.9,0.24,0.85,0.2,0.7,0.09,0.65
ninject.csv,0.06,1.0,0.01,0.34,0.11,0.0,0.11,0.0,0.8,0.25,0.11,0.0,0.18,0.31,0.26,0.2,1.0,0.14,0.42,0.19
officefloor.csv,0.09,0.0,0.56,0.84,0.85,0.0,0.8,0.6,0.0,0.0,0.39,0.33,0.61,0.12,0.24,0.98,0.4,0.75,0.03,0.89
ontopia.csv,0.71,0.0,0.26,0.97,0.55,1.0,1.0,0.8,1.0,1.0,0.72,1.0,0.63,0.52,0.91,0.59,0.4,0.97,0.33,0.85
poormans.csv,0.41,1.0,0.51,0.42,0.24,0.0,0.25,0.0,0.6,0.38,0.28,0.5,0.33,0.82,1.0,0.39,0.4,0.27,0.73,0.17
power-architect.csv,0.62,1.0,0.48,0.79,0.6,0.4,0.45,0.6,1.0,0.75,0.98,0.5,0.6,0.88,0.82,0.98,0.8,0.97,1.0,0.7
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.02,0.0,0.04,0.01,0.06,0.0,0.0,0.0,0.0,0.0
stuproa-cims.csv,0.65,0.0,0.47,0.82,0.95,0.8,0.86,0.8,0.8,0.62,0.7,0.5,0.53,0.82,0.62,0.67,0.8,0.71,0.73,0.81
tart.csv,0.0,1.0,0.01,0.0,0.04,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.02,0.0,0.01,0.03,0.01
uface.csv,0.94,1.0,0.85,0.89,0.8,1.0,0.93,1.0,1.0,0.88,0.89,1.0,0.82,0.93,1.0,0.96,1.0,0.72,0.85,0.98
wxlua.csv,0.85,1.0,1.0,0.97,0.98,1.0,0.96,1.0,1.0,1.0,0.89,1.0,0.96,0.93,0.94,1.0,1.0,0.98,0.97,1.0
