,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.75,0.96,0.09,0.83,1.14,0.56,0.88,0.58,0.97,0.68,0.87,0.76
baadengine.csv,0.03,0.66,0.55,0.77,1.2,0.62,0.56,0.46,0.71,0.47,0.76,0.57
chaosrts.csv,1.0,1.0,1.0,0.93,0.96,0.65,0.67,0.72,1.0,0.62,0.05,1.0
chaperon.csv,0.9,0.91,0.88,0.71,1.04,0.0,1.0,0.91,0.97,0.96,0.98,0.89
empyrean.csv,0.58,0.01,0.77,0.7,0.59,1.0,0.95,0.74,0.82,0.61,0.86,0.74
hydrate.csv,0.7,0.9,0.7,0.76,0.77,0.75,0.56,0.6,0.86,0.51,0.9,0.0
jaxlib.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.82,1.0,1.0,0.98,1.0
joustsim.csv,0.78,0.72,0.71,0.83,1.05,1.0,0.77,0.0,0.83,0.58,0.88,0.7
loki-lib.csv,0.58,0.74,0.57,0.74,0.77,0.89,0.6,0.44,0.02,0.45,0.51,0.86
owlapi.csv,0.81,0.96,0.97,0.95,1.0,0.76,0.04,0.91,1.0,0.76,0.89,0.88
pamguard.csv,0.69,0.81,0.86,0.03,1.14,1.0,0.61,0.94,0.96,0.59,0.89,0.63
poormans.csv,0.57,0.78,0.61,0.7,1.06,0.76,0.63,0.51,0.79,0.09,0.83,0.74
