,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.29,0.05,0.93,0.22,0.0,0.54,0.19,0.49,0.04,0.42,0.17,0.36
baadengine.csv,0.99,0.46,0.72,0.54,0.0,0.52,0.62,0.8,0.36,0.71,0.55,0.7
chaosrts.csv,0.0,0.0,0.0,0.31,0.17,0.64,0.55,0.66,0.0,0.72,0.98,0.0
chaperon.csv,0.12,0.12,0.17,0.36,0.0,1.0,0.0,0.11,0.2,0.07,0.02,0.14
empyrean.csv,0.5,0.99,0.39,0.36,0.53,0.0,0.26,0.31,0.25,0.53,0.47,0.39
hydrate.csv,0.49,0.12,0.4,0.55,0.6,0.29,0.55,0.49,0.17,0.59,0.36,1.0
jaxlib.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21,0.0,0.0,0.02,0.0
joustsim.csv,0.29,0.37,0.44,0.22,0.0,0.0,0.35,1.0,0.25,0.57,0.15,0.37
loki-lib.csv,0.65,0.57,0.76,0.55,0.6,0.28,0.63,0.81,1.0,0.78,0.68,0.46
owlapi.csv,0.24,0.05,0.06,0.06,0.0,0.29,0.97,0.11,0.0,0.28,0.13,0.15
pamguard.csv,0.59,0.51,0.46,0.98,0.0,0.0,0.71,0.11,0.3,0.69,0.15,0.44
poormans.csv,0.54,0.27,0.49,0.36,0.0,0.29,0.45,0.58,0.37,0.92,0.21,0.39
