,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,buddata-ebxml-registry.csv
buddata-ebxml-registry.csv,1.0,0.88,1.0,0.95,0.91,0.93
lazarus-ccr.csv,0.83,0.65,0.89,0.76,0.36,0.51
lcfizvtop.csv,0.5,0.76,0.44,0.67,0.82,0.49
migen.csv,0.58,0.65,0.06,0.24,0.18,0.36
mvnforum.csv,0.25,0.15,0.5,0.43,0.09,0.27
plplot.csv,0.62,0.56,0.67,0.62,0.18,0.34
